row_type,axis,mu,D_w_over_D_u,stress,epsilon,T,dt,n_x,n_y,seed,s_c_ode,s_c_pde,delta_s_c,ode_persistent,pde_persistent,classification,baseline_turing_unstable,baseline_growth,final_mean_w_ode,final_mean_w_pde,var_u,var_v,var_w,dominant_wavelength,pattern_measurable,robustness_passed,status
threshold,baseline,0.85,100.0,,0.0001,35.0,0.025,36,36,20260602,0.6539062500000001,0.6468750000000001,-0.007031250000000044,,,,True,0.20869132522452352,,,,,,,,,ok
phase_point,stress_mu,0.72,100.0,0.0,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.17207943445005985,0.9384528059320547,0.9384533924611823,2.757390228923295e-08,6.75829604019978e-07,7.565071140545073e-09,1.655211777204736,False,,ok
phase_point,stress_mu,0.72,100.0,0.25,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.17207943445005985,1.0605886334789405,1.0605904455919208,5.0224576549717976e-08,1.2878024304334625e-07,5.095799354116076e-10,2.030692330267238,False,,ok
phase_point,stress_mu,0.72,100.0,0.5,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.17207943445005985,0.01609985529017683,0.015992075924793358,5.954393158088065e-15,5.797012517581618e-15,1.5308289900687145e-18,20.0,False,,ok
phase_point,stress_mu,0.72,100.0,0.65,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.17207943445005985,0.00019274510515365195,0.00018766569238608545,8.487254054945343e-15,8.430473264030664e-15,5.4599174792730585e-22,10.0,False,,ok
phase_point,stress_mu,0.72,100.0,0.75,0.0001,35.0,0.025,36,36,20260602,,,,False,False,"ODE extinct, PDE extinct",True,0.17207943445005985,7.47176771271143e-06,7.1041459247095794e-06,9.339670868219338e-15,9.27870553678128e-15,1.0418643419668412e-24,10.0,False,,ok
phase_point,stress_mu,0.72,100.0,0.85,0.0001,35.0,0.025,36,36,20260602,,,,False,False,"ODE extinct, PDE extinct",True,0.17207943445005985,2.6446831281415743e-07,2.433558802837717e-07,9.874491483363124e-15,9.809205707831081e-15,1.4649718694927547e-27,10.0,False,,ok
phase_point,stress_mu,0.8,100.0,0.0,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.19935029933703985,0.9693518737227863,0.96935389301108,5.395674208556086e-07,4.9379358314887285e-06,4.7790754259572124e-08,1.655211777204736,False,,ok
phase_point,stress_mu,0.8,100.0,0.25,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.19935029933703985,0.552070746153944,0.5515598348526252,2.4781350769058455e-15,8.149395087489857e-16,2.7822618316469e-16,20.0,False,,ok
phase_point,stress_mu,0.8,100.0,0.5,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.19935029933703985,0.011460529330397368,0.011383989074654186,4.8723979606472466e-15,4.789618598081618e-15,5.165960785345911e-19,6.666666666666666,False,,ok
phase_point,stress_mu,0.8,100.0,0.65,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.19935029933703985,0.00014512027713369007,0.00014119480402481513,6.566200201708222e-15,6.534813188937648e-15,2.314863623958459e-22,10.0,False,,ok
phase_point,stress_mu,0.8,100.0,0.75,0.0001,35.0,0.025,36,36,20260602,,,,False,False,"ODE extinct, PDE extinct",True,0.19935029933703985,5.808188636255351e-06,5.516165948179926e-06,7.169282818419026e-15,7.136264382058028e-15,4.872590071263041e-25,10.0,False,,ok
phase_point,stress_mu,0.8,100.0,0.85,0.0001,35.0,0.025,36,36,20260602,,,,False,False,"ODE extinct, PDE extinct",True,0.19935029933703985,2.1089053018080995e-07,1.937331760951454e-07,7.568815867096028e-15,7.533760846046247e-15,7.370247170239947e-28,10.0,False,,ok
phase_point,stress_mu,0.85,100.0,0.0,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.20869132522452352,0.992480219943484,0.9924827087559348,1.7939351209870202e-06,1.0390380995953631e-05,8.621296775690642e-08,1.7541160386140584,True,,ok
phase_point,stress_mu,0.85,100.0,0.25,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.20869132522452352,0.425793485749037,0.42566268225896375,9.213848269774159e-16,7.033411587916162e-16,1.2289721357080347e-17,20.0,False,,ok
phase_point,stress_mu,0.85,100.0,0.5,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.20869132522452352,0.009705371914768439,0.009639745096768399,4.512666578798627e-15,4.451497660150873e-15,3.0919114343862e-19,10.0,False,,ok
phase_point,stress_mu,0.85,100.0,0.65,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.20869132522452352,0.00012542284730004272,0.00012198284127470475,5.934286259971515e-15,5.910844164700905e-15,1.5017902990449157e-22,10.0,False,,ok
phase_point,stress_mu,0.85,100.0,0.75,0.0001,35.0,0.025,36,36,20260602,,,,False,False,"ODE extinct, PDE extinct",True,0.20869132522452352,5.092371298016749e-06,4.83353976878106e-06,6.454531835646785e-15,6.4301370379075825e-15,3.2980591250951897e-25,10.0,False,,ok
phase_point,stress_mu,0.85,100.0,0.85,0.0001,35.0,0.025,36,36,20260602,,,,False,False,"ODE extinct, PDE extinct",True,0.20869132522452352,1.871791914317848e-07,1.7182621470891623e-07,6.808155048120969e-15,6.782385016276828e-15,5.161155307637413e-28,10.0,False,,ok
phase_point,stress_mu,0.89,100.0,0.0,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.20795170015809653,1.0141762784325083,1.0141778108088773,2.5974021512782907e-06,1.081310843307299e-05,7.488776093582583e-08,1.7541160386140584,True,,ok
phase_point,stress_mu,0.89,100.0,0.25,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.20795170015809653,0.37285407268024984,0.3727721857562168,8.699931824181706e-16,7.65920509729118e-16,3.48595898341416e-18,20.0,False,,ok
phase_point,stress_mu,0.89,100.0,0.5,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.20795170015809653,0.008625055286918398,0.008565843240263762,4.294484483431051e-15,4.2451905315691735e-15,2.16970481949268e-19,10.0,False,,ok
phase_point,stress_mu,0.89,100.0,0.65,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.20795170015809653,0.00011260599954374852,0.00010948056206850149,5.559269194345545e-15,5.540500760687697e-15,1.100132799304949e-22,10.0,False,,ok
phase_point,stress_mu,0.89,100.0,0.75,0.0001,35.0,0.025,36,36,20260602,,,,False,False,"ODE extinct, PDE extinct",True,0.20795170015809653,4.6119266550026975e-06,4.375366850510013e-06,6.0311158565708114e-15,6.0117572682467805e-15,2.478552360025529e-25,10.0,False,,ok
phase_point,stress_mu,0.89,100.0,0.85,0.0001,35.0,0.025,36,36,20260602,,,,False,False,"ODE extinct, PDE extinct",True,0.20795170015809653,1.7087020305153554e-07,1.5675145880141844e-07,6.357593463837525e-15,6.3372265485968465e-15,3.963317360886741e-28,10.0,False,,ok
phase_point,stress_mu,0.95,100.0,0.0,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.17330464407919527,1.0558927552701574,1.055893020265929,4.437764116254166e-07,1.1080268564359376e-06,4.744738944706174e-09,1.8107149208503706,False,,ok
phase_point,stress_mu,0.95,100.0,0.25,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.17330464407919527,0.3180736274290939,0.31802035873717477,8.849695495569358e-16,8.367392467735523e-16,9.509213274790665e-19,20.0,False,,ok
phase_point,stress_mu,0.95,100.0,0.5,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.17330464407919527,0.007326354488997598,0.007274353597363864,4.013410396360082e-15,3.9774319679655e-15,1.354647044196119e-19,10.0,False,,ok
phase_point,stress_mu,0.95,100.0,0.65,0.0001,35.0,0.025,36,36,20260602,,,,False,False,"ODE extinct, PDE extinct",True,0.17330464407919527,9.604570199666426e-05,9.331818590455975e-05,5.1008175395834384e-15,5.0877969201131946e-15,7.099896649526297e-23,10.0,False,,ok
phase_point,stress_mu,0.95,100.0,0.75,0.0001,35.0,0.025,36,36,20260602,,,,False,False,"ODE extinct, PDE extinct",True,0.17330464407919527,3.963735855388535e-06,3.7568692513656945e-06,5.517386995320932e-15,5.504179036672458e-15,1.6390040789121566e-25,10.0,False,,ok
phase_point,stress_mu,0.95,100.0,0.85,0.0001,35.0,0.025,36,36,20260602,,,,False,False,"ODE extinct, PDE extinct",True,0.17330464407919527,1.4802114819160664e-07,1.3562491849183163e-07,5.8126425002232595e-15,5.798844978537869e-15,2.679988573207708e-28,10.0,False,,ok
phase_point,stress_ratio,0.85,40.0,0.0,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.09252655291555556,0.992480219943484,0.9924802302219551,7.180872063244725e-10,3.726073970534521e-09,9.758936676158172e-11,1.2082441866603537,False,,ok
phase_point,stress_ratio,0.85,40.0,0.25,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.09252655291555556,0.425793485749037,0.4256626823316254,1.1424057396514317e-15,7.257347416300932e-16,3.03705893144052e-17,20.0,False,,ok
phase_point,stress_ratio,0.85,40.0,0.5,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.09252655291555556,0.009705371914768439,0.009639745111037447,4.624404501030933e-15,4.515717928950928e-15,9.648127029884067e-19,6.666666666666666,False,,ok
phase_point,stress_ratio,0.85,40.0,0.65,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.09252655291555556,0.00012542284730004272,0.00012198284159500443,5.993102811745645e-15,5.968269091121394e-15,4.876234524926449e-22,10.0,False,,ok
phase_point,stress_ratio,0.85,40.0,0.75,0.0001,35.0,0.025,36,36,20260602,,,,False,False,"ODE extinct, PDE extinct",True,0.09252655291555556,5.092371298016749e-06,4.833539783903193e-06,6.500668898036968e-15,6.4760419186683214e-15,1.0885187118893986e-24,10.0,False,,ok
phase_point,stress_ratio,0.85,40.0,0.85,0.0001,35.0,0.025,36,36,20260602,,,,False,False,"ODE extinct, PDE extinct",True,0.09252655291555556,1.871791914317848e-07,1.7182621531024125e-07,6.845667762573273e-15,6.819753323447158e-15,1.7244131182423743e-27,10.0,False,,ok
phase_point,stress_ratio,0.85,70.0,0.0,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.16913145305636842,0.992480219943484,0.9924807139472697,1.3405263666162622e-07,7.531718855909584e-07,9.820268204920236e-09,1.2082441866603537,False,,ok
phase_point,stress_ratio,0.85,70.0,0.25,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.16913145305636842,0.425793485749037,0.42566268228565596,1.0000611163502058e-15,7.129464083750414e-16,1.8218423903486177e-17,20.0,False,,ok
phase_point,stress_ratio,0.85,70.0,0.5,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.16913145305636842,0.009705371914768439,0.009639745101003884,4.5570016336863085e-15,4.47931327576986e-15,5.147319414395568e-19,6.666666666666666,False,,ok
phase_point,stress_ratio,0.85,70.0,0.65,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.16913145305636842,0.00012542284730004272,0.00012198284136649297,5.9594460593623804e-15,5.9355004753456925e-15,2.551291693873414e-22,10.0,False,,ok
phase_point,stress_ratio,0.85,70.0,0.75,0.0001,35.0,0.025,36,36,20260602,,,,False,False,"ODE extinct, PDE extinct",True,0.16913145305636842,5.092371298016749e-06,4.833539773054053e-06,6.474594535038414e-15,6.450103696399331e-15,5.649281574295315e-25,10.0,False,,ok
phase_point,stress_ratio,0.85,70.0,0.85,0.0001,35.0,0.025,36,36,20260602,,,,False,False,"ODE extinct, PDE extinct",True,0.16913145305636842,1.871791914317848e-07,1.7182621487705222e-07,6.8246279822137656e-15,6.798794745984327e-15,8.895361278712204e-28,10.0,False,,ok
phase_point,stress_ratio,0.85,100.0,0.0,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.20869132522452352,0.992480219943484,0.9924827087559348,1.7939351209870202e-06,1.0390380995953631e-05,8.621296775690642e-08,1.7541160386140584,True,,ok
phase_point,stress_ratio,0.85,100.0,0.25,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.20869132522452352,0.425793485749037,0.42566268225896375,9.213848269774159e-16,7.033411587916162e-16,1.2289721357080347e-17,20.0,False,,ok
phase_point,stress_ratio,0.85,100.0,0.5,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.20869132522452352,0.009705371914768439,0.009639745096768399,4.512666578798627e-15,4.451497660150873e-15,3.0919114343862e-19,10.0,False,,ok
phase_point,stress_ratio,0.85,100.0,0.65,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.20869132522452352,0.00012542284730004272,0.00012198284127470475,5.934286259971515e-15,5.910844164700905e-15,1.5017902990449157e-22,10.0,False,,ok
phase_point,stress_ratio,0.85,100.0,0.75,0.0001,35.0,0.025,36,36,20260602,,,,False,False,"ODE extinct, PDE extinct",True,0.20869132522452352,5.092371298016749e-06,4.83353976878106e-06,6.454531835646785e-15,6.4301370379075825e-15,3.2980591250951897e-25,10.0,False,,ok
phase_point,stress_ratio,0.85,100.0,0.85,0.0001,35.0,0.025,36,36,20260602,,,,False,False,"ODE extinct, PDE extinct",True,0.20869132522452352,1.871791914317848e-07,1.7182621470891623e-07,6.808155048120969e-15,6.782385016276828e-15,5.161155307637413e-28,10.0,False,,ok
phase_point,stress_ratio,0.85,140.0,0.0,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.24052342203340227,0.992480219943484,0.9924876245582742,1.3435034167500693e-05,7.93457523273628e-05,4.384089378476598e-07,1.9156525704423029,True,,ok
phase_point,stress_ratio,0.85,140.0,0.25,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.24052342203340227,0.425793485749037,0.4256626822402918,8.554110586607358e-16,6.936463397576803e-16,7.78593645076284e-18,20.0,False,,ok
phase_point,stress_ratio,0.85,140.0,0.5,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.24052342203340227,0.009705371914768439,0.009639745094667142,4.470984597715518e-15,4.423243780789053e-15,1.6498224822755975e-19,10.0,False,,ok
phase_point,stress_ratio,0.85,140.0,0.65,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.24052342203340227,0.00012542284730004272,0.00012198284123154764,5.9088329854066125e-15,5.8858200805926174e-15,7.785652330314266e-23,10.0,False,,ok
phase_point,stress_ratio,0.85,140.0,0.75,0.0001,35.0,0.025,36,36,20260602,,,,False,False,"ODE extinct, PDE extinct",True,0.24052342203340227,5.092371298016749e-06,4.8335397668141605e-06,6.433863016073309e-15,6.409562811712942e-15,1.690024924253201e-25,10.0,False,,ok
phase_point,stress_ratio,0.85,140.0,0.85,0.0001,35.0,0.025,36,36,20260602,,,,False,False,"ODE extinct, PDE extinct",True,0.24052342203340227,1.871791914317848e-07,1.718262146327329e-07,6.790972964046113e-15,6.765268662752611e-15,2.621823889395434e-28,10.0,False,,ok
phase_point,stress_ratio,0.85,200.0,0.0,0.0001,35.0,0.016163265306122446,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.26928801451431794,0.992480219943484,0.9924918200233304,8.057856663855983e-05,0.000482105508169333,1.800254374332059e-06,2.030692330267238,True,,ok
phase_point,stress_ratio,0.85,200.0,0.25,0.0001,35.0,0.016163265306122446,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.26928801451431794,0.425793485749037,0.42568624128680443,7.939290057537015e-16,6.821787025946093e-16,4.1609357674266244e-18,20.0,False,,ok
phase_point,stress_ratio,0.85,200.0,0.5,0.0001,35.0,0.016163265306122446,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.26928801451431794,0.009705371914768439,0.009653093923032166,4.4073883290488344e-15,4.371580198207506e-15,6.705776852706611e-20,10.0,False,,ok
phase_point,stress_ratio,0.85,200.0,0.65,0.0001,35.0,0.016163265306122446,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.26928801451431794,0.00012542284730004272,0.00012289205467446728,5.851033405065564e-15,5.828567568365396e-15,3.073506432023879e-23,10.0,False,,ok
phase_point,stress_ratio,0.85,200.0,0.75,0.0001,35.0,0.016163265306122446,36,36,20260602,,,,False,False,"ODE extinct, PDE extinct",True,0.26928801451431794,5.092371298016749e-06,4.907072211996453e-06,6.37739267426312e-15,6.3533679571354746e-15,6.672040137830553e-26,10.0,False,,ok
phase_point,stress_ratio,0.85,200.0,0.85,0.0001,35.0,0.016163265306122446,36,36,20260602,,,,False,False,"ODE extinct, PDE extinct",True,0.26928801451431794,1.871791914317848e-07,1.763256056757967e-07,6.735643986841491e-15,6.710204321622011e-15,1.0463967788968366e-28,10.0,False,,ok
