gamma_r,gamma_a,gamma_b,stress,branch_found,q_star,n_star,w_star,z_star,s_of_q_error,max_real_eigenvalue,locally_stable,feasible,branch_class,notes
0.5,0.5,0.5,0.11765625,True,0.110328793966,4.833333333333334,0.6416666666666665,1.1916666666666667,1.874889132835733e-14,-0.02358219860277589,True,True,feasible_stable_branch,candidate_roots=1
0.5,0.5,0.5,0.1584375,True,0.045860561602,4.833333333333334,0.6416666666666666,1.1916666666666667,-3.3620328743211303e-13,-0.015951057408043617,True,True,feasible_stable_branch,candidate_roots=1
0.5,0.5,0.5,0.16486816,True,0.038236932098,4.833333333333334,0.6416666666666666,1.1916666666666667,3.175237850427948e-14,-0.014719786222432533,True,True,feasible_stable_branch,candidate_roots=1
0.5,0.5,0.5,0.175,True,0.027630611002,4.833333333333334,0.6416666666666665,1.1916666666666667,5.745404152435185e-14,-0.012765533147767731,True,True,feasible_stable_branch,candidate_roots=1
0.5,0.5,1.0,0.11765625,True,0.332157784744,4.833333333333334,0.6416666666666664,1.1916666666666664,-2.8727020762175925e-15,-0.017382872967846675,True,True,feasible_stable_branch,candidate_roots=1
0.5,0.5,1.0,0.1584375,True,0.214150791737,4.833333333333334,0.6416666666666665,1.1916666666666667,-4.440892098500626e-16,-0.022902060541742188,True,True,feasible_stable_branch,candidate_roots=1
0.5,0.5,1.0,0.16486816,True,0.195542660558,4.833333333333334,0.6416666666666666,1.1916666666666667,-5.762057497804562e-14,-0.021615338088678975,True,True,feasible_stable_branch,candidate_roots=1
0.5,0.5,1.0,0.175,True,0.166224580018,4.833333333333334,0.6416666666666666,1.1916666666666667,-1.0932921234996229e-13,-0.019506199883509018,True,True,feasible_stable_branch,candidate_roots=1
0.5,0.5,2.0,0.11765625,True,0.576331315082,4.833333333333334,0.6416666666666666,1.1916666666666667,-5.377642775528102e-14,-0.013178745644434144,True,True,feasible_stable_branch,candidate_roots=1
0.5,0.5,2.0,0.1584375,True,0.462764293931,4.833333333333333,0.6416666666666668,1.1916666666666669,-1.584010700383942e-13,-0.015104240536214028,True,True,feasible_stable_branch,candidate_roots=1
0.5,0.5,2.0,0.16486816,True,0.442202058519,4.833333333333334,0.6416666666666666,1.1916666666666667,-2.1005419625907962e-13,-0.015370433159871718,True,True,feasible_stable_branch,candidate_roots=1
0.5,0.5,2.0,0.175,True,0.407706487584,4.833333333333334,0.6416666666666665,1.1916666666666667,-1.3783418850721318e-13,-0.01575115997906459,True,True,feasible_stable_branch,candidate_roots=1
0.5,1.0,0.5,0.11765625,False,nan,nan,nan,nan,nan,nan,False,False,no_feasible_branch,no_feasible_q_root
0.5,1.0,0.5,0.1584375,False,nan,nan,nan,nan,nan,nan,False,False,no_feasible_branch,no_feasible_q_root
0.5,1.0,0.5,0.16486816,False,nan,nan,nan,nan,nan,nan,False,False,no_feasible_branch,no_feasible_q_root
0.5,1.0,0.5,0.175,False,nan,nan,nan,nan,nan,nan,False,False,no_feasible_branch,no_feasible_q_root
0.5,1.0,1.0,0.11765625,True,0.441107593748,5.050964885753517,0.46603948483828783,1.1496622960748615,-8.883171975782034e-14,-0.013002262334030994,True,True,feasible_stable_branch,candidate_roots=2
0.5,1.0,1.0,0.1584375,True,0.285611629995,4.612840246123535,0.6880461646293011,1.3657802559138301,1.8457457784393227e-14,-0.01144488837062936,True,True,feasible_stable_branch,candidate_roots=2
0.5,1.0,1.0,0.16486816,False,nan,nan,nan,nan,nan,nan,False,False,no_feasible_branch,no_feasible_q_root
0.5,1.0,1.0,0.175,False,nan,nan,nan,nan,nan,nan,False,False,no_feasible_branch,no_feasible_q_root
0.5,1.0,2.0,0.11765625,True,0.683954768008,5.290392977184413,0.33800361083901564,1.0382700786432382,2.5508761769543753e-13,-0.012483620097030329,True,True,feasible_stable_branch,candidate_roots=2
0.5,1.0,2.0,0.1584375,True,0.580455082423,5.2165040591716725,0.3786498113282076,1.071512796166787,-3.6637359812630166e-15,-0.008522148090473178,True,True,feasible_stable_branch,candidate_roots=2
0.5,1.0,2.0,0.16486816,True,0.562553433161,5.200510569576935,0.38727298134616234,1.0788831157435692,1.557087792036782e-14,-0.007881747281341884,True,True,feasible_stable_branch,candidate_roots=2
0.5,1.0,2.0,0.175,True,0.533244153434,5.171628036475635,0.40272527341218917,1.0923133567788426,3.552713678800501e-14,-0.006895609852317455,True,True,feasible_stable_branch,candidate_roots=2
0.5,2.0,0.5,0.11765625,False,nan,nan,nan,nan,nan,nan,False,False,no_feasible_branch,no_feasible_q_root
0.5,2.0,0.5,0.1584375,False,nan,nan,nan,nan,nan,nan,False,False,no_feasible_branch,no_feasible_q_root
0.5,2.0,0.5,0.16486816,False,nan,nan,nan,nan,nan,nan,False,False,no_feasible_branch,no_feasible_q_root
0.5,2.0,0.5,0.175,False,nan,nan,nan,nan,nan,nan,False,False,no_feasible_branch,no_feasible_q_root
0.5,2.0,1.0,0.11765625,True,0.487954585733,4.8473255453135415,0.5150931382173825,1.3042479831357425,-8.869294187974219e-14,-0.009806779472552821,True,True,feasible_stable_branch,candidate_roots=2
0.5,2.0,1.0,0.1584375,False,nan,nan,nan,nan,nan,nan,False,False,no_feasible_branch,no_feasible_q_root
0.5,2.0,1.0,0.16486816,False,nan,nan,nan,nan,nan,nan,False,False,no_feasible_branch,no_feasible_q_root
0.5,2.0,1.0,0.175,False,nan,nan,nan,nan,nan,nan,False,False,no_feasible_branch,no_feasible_q_root
0.5,2.0,2.0,0.11765625,True,0.7257549827,5.467790107770325,0.214355514585667,0.984521044310675,2.067790383364354e-13,-0.0026156443261764694,True,True,feasible_stable_branch,candidate_roots=2
0.5,2.0,2.0,0.1584375,True,0.630435556879,5.3313341584695975,0.283000101730771,1.0523324064662984,2.2776225350185086e-13,0.0014515417698184295,False,True,feasible_unstable_branch,candidate_roots=2
0.5,2.0,2.0,0.16486816,True,0.614777935621,5.3002328420208356,0.2982944712599053,1.0681393533859262,-2.7755575615628914e-15,0.0020608169864277976,False,True,feasible_unstable_branch,candidate_roots=2
0.5,2.0,2.0,0.175,True,0.589736160328,5.243046029840178,0.32619839367672165,1.097422243149767,1.295075158225245e-13,0.002899774814825438,False,True,feasible_unstable_branch,candidate_roots=2
1.0,0.5,0.5,0.11765625,True,0.098390807359,5.610459339988815,0.2666977481868692,0.7895095784909822,6.779299344117362e-14,-0.003808924254346669,True,True,feasible_stable_branch,candidate_roots=1
1.0,0.5,0.5,0.1584375,True,0.010527823184,5.982852482125095,0.06804157267715648,0.6157726118644161,-2.8821389719269064e-13,0.001574478202145849,False,True,feasible_unstable_branch,candidate_roots=1
1.0,0.5,0.5,0.16486816,True,0.002154613648,6.059268197153936,0.02891735533451598,0.5784811141782145,2.851052727237402e-13,-0.00013414769646708947,True,True,feasible_stable_branch,candidate_roots=1
1.0,0.5,0.5,0.175,False,nan,nan,nan,nan,nan,nan,False,False,no_feasible_branch,no_feasible_q_root
1.0,0.5,1.0,0.11765625,True,0.268682908916,5.0672103772770045,0.5729919920248505,1.0264642973648122,5.47201173262124e-14,-0.02418850127188657,True,True,feasible_stable_branch,candidate_roots=1
1.0,0.5,1.0,0.1584375,True,0.162239619135,5.400916214901667,0.38293992355879536,0.8828105282062054,-7.049916206369744e-15,-0.005773617990315644,True,True,feasible_stable_branch,candidate_roots=1
1.0,0.5,1.0,0.16486816,True,0.140316646004,5.471277864040742,0.3436101772859431,0.8517786253399818,-1.1743384042972593e-13,-0.0028905233207063307,True,True,feasible_stable_branch,candidate_roots=1
1.0,0.5,1.0,0.175,True,0.097742235571,5.612683615836834,0.2654788047740913,0.7885042460557414,-7.335798635210722e-14,0.0015774246013883831,False,True,feasible_unstable_branch,candidate_roots=2
1.0,0.5,2.0,0.11765625,True,0.422587355905,4.578746938694615,0.8597839294492785,1.2281357985227734,-2.5453250618312495e-13,-0.01448635106410843,True,True,feasible_stable_branch,candidate_roots=1
1.0,0.5,2.0,0.1584375,True,0.332797575978,4.8660545583174954,0.6899883128911699,1.1106237954580018,-1.1368683772161603e-13,-0.020031176063231383,True,True,feasible_stable_branch,candidate_roots=1
1.0,0.5,2.0,0.16486816,True,0.31495822123,4.922270012558332,0.6571261635045441,1.0872704906037904,1.4074852394685422e-13,-0.027152614915623135,True,True,feasible_stable_branch,candidate_roots=1
1.0,0.5,2.0,0.175,True,0.283028181167,5.0223851783053135,0.5989175487173061,1.0453639396440475,2.0566881531181025e-14,-0.020568722660456746,True,True,feasible_stable_branch,candidate_roots=2
1.0,1.0,0.5,0.11765625,True,0.110328793966,4.833333333333333,0.6416666666666667,1.1916666666666669,1.8693380177126073e-14,-0.018389774044008923,True,True,feasible_stable_branch,candidate_roots=1
1.0,1.0,0.5,0.1584375,True,0.045860561602,4.833333333333334,0.6416666666666666,1.1916666666666667,-3.3620328743211303e-13,-0.011789323885665543,True,True,feasible_stable_branch,candidate_roots=1
1.0,1.0,0.5,0.16486816,True,0.038236932098,4.833333333333334,0.6416666666666666,1.1916666666666667,3.175237850427948e-14,-0.010790486001474302,True,True,feasible_stable_branch,candidate_roots=1
1.0,1.0,0.5,0.175,True,0.027630611002,4.833333333333334,0.6416666666666666,1.1916666666666667,5.742628594873622e-14,-0.009243263378585128,True,True,feasible_stable_branch,candidate_roots=1
1.0,1.0,1.0,0.11765625,True,0.332157784744,4.833333333333334,0.6416666666666666,1.1916666666666667,-2.8727020762175925e-15,-0.023581704068810348,True,True,feasible_stable_branch,candidate_roots=1
1.0,1.0,1.0,0.1584375,True,0.214150791737,4.833333333333334,0.6416666666666666,1.1916666666666667,-4.718447854656915e-16,-0.01589389491785855,True,True,feasible_stable_branch,candidate_roots=1
1.0,1.0,1.0,0.16486816,True,0.195542660558,4.833333333333334,0.6416666666666666,1.1916666666666667,-5.762057497804562e-14,-0.014652470611619752,True,True,feasible_stable_branch,candidate_roots=1
1.0,1.0,1.0,0.175,True,0.166224580018,4.833333333333334,0.6416666666666666,1.1916666666666667,-1.0932921234996229e-13,-0.012681581443340431,True,True,feasible_stable_branch,candidate_roots=1
1.0,1.0,2.0,0.11765625,True,0.576331315082,4.833333333333334,0.6416666666666666,1.1916666666666667,-5.377642775528102e-14,-0.030411177192605544,True,True,feasible_stable_branch,candidate_roots=1
1.0,1.0,2.0,0.1584375,True,0.462764293931,4.833333333333333,0.6416666666666667,1.1916666666666669,-1.5837331446277858e-13,-0.022943546974918447,True,True,feasible_stable_branch,candidate_roots=1
1.0,1.0,2.0,0.16486816,True,0.442202058519,4.833333333333334,0.6416666666666666,1.1916666666666667,-2.1005419625907962e-13,-0.02164977330982781,True,True,feasible_stable_branch,candidate_roots=1
1.0,1.0,2.0,0.175,True,0.407706487584,4.833333333333334,0.6416666666666666,1.1916666666666667,-1.3786194408282881e-13,-0.019529024421140302,True,True,feasible_stable_branch,candidate_roots=1
1.0,2.0,0.5,0.11765625,False,nan,nan,nan,nan,nan,nan,False,False,no_feasible_branch,no_feasible_q_root
1.0,2.0,0.5,0.1584375,False,nan,nan,nan,nan,nan,nan,False,False,no_feasible_branch,no_feasible_q_root
1.0,2.0,0.5,0.16486816,False,nan,nan,nan,nan,nan,nan,False,False,no_feasible_branch,no_feasible_q_root
1.0,2.0,0.5,0.175,False,nan,nan,nan,nan,nan,nan,False,False,no_feasible_branch,no_feasible_q_root
1.0,2.0,1.0,0.11765625,False,nan,nan,nan,nan,nan,nan,False,False,no_feasible_branch,no_feasible_q_root
1.0,2.0,1.0,0.1584375,False,nan,nan,nan,nan,nan,nan,False,False,no_feasible_branch,no_feasible_q_root
1.0,2.0,1.0,0.16486816,False,nan,nan,nan,nan,nan,nan,False,False,no_feasible_branch,no_feasible_q_root
1.0,2.0,1.0,0.175,False,nan,nan,nan,nan,nan,nan,False,False,no_feasible_branch,no_feasible_q_root
1.0,2.0,2.0,0.11765625,True,0.664159313529,5.050964885752394,0.4660394848388704,1.1496622960754028,1.1134149158209539e-13,-0.01181789781776619,True,True,feasible_stable_branch,candidate_roots=2
1.0,2.0,2.0,0.1584375,True,0.534426449565,4.612840246121839,0.6880461646301489,1.3657802559146794,8.126832540256146e-14,-0.020770063560003056,True,True,feasible_stable_branch,candidate_roots=2
1.0,2.0,2.0,0.16486816,False,nan,nan,nan,nan,nan,nan,False,False,no_feasible_branch,no_feasible_q_root
1.0,2.0,2.0,0.175,False,nan,nan,nan,nan,nan,nan,False,False,no_feasible_branch,no_feasible_q_root
2.0,0.5,0.5,0.11765625,True,0.069282573852,6.074799321442668,0.022368831302912187,0.5694985139210874,-9.395262345890387e-15,-0.00032897669722941345,True,True,feasible_stable_branch,candidate_roots=1
2.0,0.5,0.5,0.1584375,True,0.002824128599,6.116315584754606,0.00017784466546879235,0.5501732372465922,-5.972722316727186e-13,-2.550867320628255e-05,True,True,feasible_stable_branch,candidate_roots=1
2.0,0.5,0.5,0.16486816,True,0.000446940681,6.116644395283642,1.119337221113752e-05,0.5500110780108136,3.562511396992818e-12,-5.39249096265363e-06,True,True,feasible_stable_branch,candidate_roots=1
2.0,0.5,0.5,0.175,False,nan,nan,nan,nan,nan,nan,False,False,no_feasible_branch,no_feasible_q_root
2.0,0.5,1.0,0.11765625,True,0.268610331681,5.745280225430162,0.21254385381775165,0.7088425874187537,-7.81458231458032e-14,-0.006419267460875212,True,True,feasible_stable_branch,candidate_roots=1
2.0,0.5,1.0,0.1584375,True,0.065905583514,6.07785179925955,0.020702934350212716,0.5681119330569048,-1.4127587988355117e-14,0.00018039516528042213,False,True,feasible_unstable_branch,candidate_roots=1
2.0,0.5,1.0,0.16486816,True,0.024823412276,6.1076865312828215,0.004669390512399962,0.5543107448714454,-6.308842337432452e-14,-7.120187134380772e-06,True,True,feasible_stable_branch,candidate_roots=1
2.0,0.5,1.0,0.175,False,nan,nan,nan,nan,nan,nan,False,False,no_feasible_branch,no_feasible_q_root
2.0,0.5,2.0,0.11765625,True,0.433324691814,5.143099854789181,0.5798176349487885,0.9437491769286979,1.3815337762679292e-13,-0.0303479226762781,True,True,feasible_stable_branch,candidate_roots=1
2.0,0.5,2.0,0.1584375,True,0.314365023553,5.618792381384536,0.2883440894854428,0.759530195796688,-6.666889262874065e-14,-0.007012365310890447,True,True,feasible_stable_branch,candidate_roots=1
2.0,0.5,2.0,0.16486816,True,0.274840485817,5.729463704374146,0.22196570144465097,0.715237260847871,7.41073868937292e-15,-0.003506010178641067,True,True,feasible_stable_branch,candidate_roots=1
2.0,0.5,2.0,0.175,False,nan,nan,nan,nan,nan,nan,False,False,no_feasible_branch,no_feasible_q_root
2.0,1.0,0.5,0.11765625,True,0.078760765673,6.01626125833082,0.05085355978006348,0.599551848555784,-2.4702462297909733e-15,0.001449133391776644,False,True,feasible_unstable_branch,candidate_roots=1
2.0,1.0,0.5,0.1584375,True,0.002981818065,6.113124707800351,0.0017718379691582524,0.5517701208971573,5.045408535409024e-13,0.00013384397770290233,False,True,feasible_unstable_branch,candidate_roots=1
2.0,1.0,0.5,0.16486816,True,0.000457622253,6.116124333383323,0.0002711868081040382,0.5502711464752407,-1.865174681370263e-13,2.1991343593082368e-05,False,True,feasible_unstable_branch,candidate_roots=1
2.0,1.0,0.5,0.175,False,nan,nan,nan,nan,nan,nan,False,False,no_feasible_branch,no_feasible_q_root
2.0,1.0,1.0,0.11765625,True,0.313673089951,5.6104593399874165,0.266697748187636,0.7895095784916144,-1.09051656593806e-13,-0.003667767709289795,True,True,feasible_stable_branch,candidate_roots=1
2.0,1.0,1.0,0.1584375,True,0.102605181076,5.982852482127616,0.06804157267585431,0.6157726118631963,-6.292188992063075e-14,0.0032492934648888803,False,True,feasible_unstable_branch,candidate_roots=1
2.0,1.0,1.0,0.16486816,True,0.046417816065,6.059268197150543,0.028917355336238064,0.5784811141798859,1.7957857423311907e-14,0.0019435003914576967,False,True,feasible_unstable_branch,candidate_roots=1
2.0,1.0,1.0,0.175,False,nan,nan,nan,nan,nan,nan,False,False,no_feasible_branch,no_feasible_q_root
2.0,1.0,2.0,0.11765625,True,0.518346321407,5.067210377276478,0.5729919920251548,1.0264642973650346,-2.135791543622645e-14,-0.025430994790143373,True,True,feasible_stable_branch,candidate_roots=1
2.0,1.0,2.0,0.1584375,True,0.402789795222,5.400916214901728,0.38293992355876083,0.8828105282061783,-1.0547118733938987e-15,-0.006260989516808799,True,True,feasible_stable_branch,candidate_roots=1
2.0,1.0,2.0,0.16486816,True,0.374588635711,5.471277864041299,0.3436101772856333,0.8517786253397353,-7.002731727823175e-14,-0.003182121188597501,True,True,feasible_stable_branch,candidate_roots=1
2.0,1.0,2.0,0.175,True,0.055058565466,6.0480300941260605,0.03462810450612667,0.5840084680344797,3.0003777240494856e-14,0.005821784962903664,False,True,feasible_unstable_branch,candidate_roots=2
2.0,2.0,0.5,0.11765625,True,0.110328793966,4.833333333333334,0.6416666666666664,1.1916666666666664,1.8721135752741702e-14,-0.0035462032328897265,True,True,feasible_stable_branch,candidate_roots=1
2.0,2.0,0.5,0.1584375,True,0.045860561602,4.833333333333333,0.6416666666666668,1.1916666666666669,-3.3614777628088177e-13,-0.0014628599607237043,True,True,feasible_stable_branch,candidate_roots=1
2.0,2.0,0.5,0.16486816,True,0.038236932098,4.833333333333334,0.6416666666666666,1.1916666666666667,3.175237850427948e-14,-0.0012083766938574035,True,True,feasible_stable_branch,candidate_roots=1
2.0,2.0,0.5,0.175,True,0.027630611002,4.833333333333334,0.6416666666666666,1.1916666666666667,5.742628594873622e-14,-0.0008550663562098728,True,True,feasible_stable_branch,candidate_roots=1
2.0,2.0,1.0,0.11765625,True,0.332157784744,4.833333333333334,0.6416666666666666,1.1916666666666667,-2.8727020762175925e-15,-0.01838946103697029,True,True,feasible_stable_branch,candidate_roots=1
2.0,2.0,1.0,0.1584375,True,0.214150791737,4.833333333333334,0.6416666666666664,1.1916666666666664,-4.163336342344337e-16,-0.011765722462435575,True,True,feasible_stable_branch,candidate_roots=1
2.0,2.0,1.0,0.16486816,True,0.195542660558,4.833333333333333,0.6416666666666667,1.1916666666666669,-5.764833055366125e-14,-0.010765046416977977,True,True,feasible_stable_branch,candidate_roots=1
2.0,2.0,1.0,0.175,True,0.166224580018,4.833333333333334,0.6416666666666666,1.1916666666666667,-1.0932921234996229e-13,-0.00921618288814556,True,True,feasible_stable_branch,candidate_roots=1
2.0,2.0,2.0,0.11765625,True,0.576331315082,4.833333333333334,0.6416666666666666,1.1916666666666667,-5.377642775528102e-14,-0.023667868473614677,True,True,feasible_stable_branch,candidate_roots=1
2.0,2.0,2.0,0.1584375,True,0.462764293931,4.833333333333333,0.6416666666666667,1.1916666666666669,-1.5837331446277858e-13,-0.01593024787909092,True,True,feasible_stable_branch,candidate_roots=1
2.0,2.0,2.0,0.16486816,True,0.442202058519,4.833333333333334,0.6416666666666665,1.1916666666666667,-2.10026440683464e-13,-0.01468131562332699,True,True,feasible_stable_branch,candidate_roots=1
2.0,2.0,2.0,0.175,True,0.407706487584,4.833333333333334,0.6416666666666666,1.1916666666666667,-1.3786194408282881e-13,-0.0126992289336737,True,True,feasible_stable_branch,candidate_roots=1
