shape_label,gamma_r,gamma_a,gamma_b,stress,baseline_state,perturbation_type,seed,T,classification,basin_label,homogeneous_control_basin_label,basin_changed_relative_to_control,tail_mean_w,tail_mean_q,relative_change_between_last_windows,normalized_residual,initial_cv_n,initial_cv_w,initial_cv_q,final_cv_n,final_cv_w,final_cv_q,max_cv_n,max_cv_w,max_cv_q,spatial_pattern_persisted,physical,notes
linear_reference,1.0,1.0,1.0,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,persistent_steady,persistent_basin,persistent_basin,False,0.6416666666666663,0.21415079173699997,0.0,1.2624470762467927e-16,0.0,3.460435401429061e-16,0.0,0.0,3.460435401429061e-16,0.0,0.0,3.460435401429061e-16,0.0,False,True,targeted_nonlinear_pde
linear_reference,1.0,1.0,1.0,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,persistent_steady,persistent_basin,persistent_basin,False,0.6416666666666201,0.214150791737003,-8.478066733501092e-14,6.930761025970815e-16,0.0,3.460435401429061e-16,0.14448839308821412,1.9803788863344113e-15,7.763026443140781e-15,3.9685939136621804e-15,0.04299309369797774,0.1851739095298631,0.14448839308821412,False,True,targeted_nonlinear_pde
linear_reference,1.0,1.0,1.0,0.1584375,compensation_branch_state,random_heterogeneity,20260702,3200.0,persistent_steady,persistent_basin,persistent_basin,False,0.6416666666666532,0.2141507917370023,-5.173350925136285e-14,6.820322493759164e-16,0.027386946627133934,0.028988989453262136,0.11447270743340449,6.687843392984586e-15,2.580165023230206e-14,1.0599223478543583e-14,0.027386946627133934,0.09429343993149623,0.11447270743340449,False,True,targeted_nonlinear_pde
linear_reference,1.0,1.0,1.0,0.1584375,basin_boundary_state,homogeneous_control,20260702,3200.0,persistent_steady,persistent_basin,persistent_basin,False,1.3093869639070337,0.0,0.0,3.5841101374310285e-16,1.8376105235153676e-16,0.0,0.0,2.5391814043774e-16,1.6957905573038564e-16,0.0,3.808771801204406e-16,3.403089017069604e-16,0.0,False,True,targeted_nonlinear_pde
linear_reference,1.0,1.0,1.0,0.1584375,basin_boundary_state,basin_boundary_heterogeneity,20260702,3200.0,persistent_steady,persistent_basin,persistent_basin,False,0.641666666666674,0.21415079173699483,-1.9936312337269323e-10,6.838715302804884e-16,0.06846736656783484,0.07247247363315533,1.5094256607280394,3.584676975003123e-15,1.397966041511144e-14,6.7362406740711146e-15,0.06846736656783484,0.17597685244804676,1.5094256607280394,False,True,targeted_nonlinear_pde
all_concave,0.5,0.5,0.5,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,persistent_steady,persistent_basin,persistent_basin,False,0.6416666666666474,0.04586056160158335,0.0,6.699786954338853e-16,0.0,3.460435401429061e-16,3.026083266980585e-16,0.0,1.730217700714582e-16,3.0260832670080783e-16,3.6752210470349304e-16,3.4604354014312644e-16,3.0260832670106554e-16,False,True,targeted_nonlinear_pde
all_concave,0.5,0.5,0.5,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,persistent_steady,persistent_basin,persistent_basin,False,0.641666666666677,0.04586056160158399,-4.399943612915042e-13,7.423336676606364e-16,0.0,3.460435401429061e-16,0.5634601271751858,3.580118099961002e-15,1.3994431962436494e-14,1.3779167715388593e-14,0.05788044629836353,0.2628657087935707,0.5634601271751858,False,True,targeted_nonlinear_pde
all_concave,0.5,0.5,0.5,0.1584375,compensation_branch_state,random_heterogeneity,20260702,3200.0,persistent_steady,persistent_basin,persistent_basin,False,0.64166666666668,0.04586056160158357,4.360148605800714e-14,6.8410162533846e-16,0.027386946627133934,0.028988989453262136,0.5255249895601569,4.976125926064896e-15,1.931405043564068e-14,1.6131882427092076e-14,0.05073876373126789,0.1928782037755069,0.5255249895601569,False,True,targeted_nonlinear_pde
all_concave,0.5,0.5,0.5,0.1584375,basin_boundary_state,homogeneous_control,20260702,3200.0,persistent_steady,persistent_basin,persistent_basin,False,1.3093869639070337,0.0,0.0,3.5841101374310285e-16,1.8376105235153676e-16,0.0,0.0,2.5391814043774e-16,1.6957905573038564e-16,0.0,3.808771801204406e-16,3.403089017069604e-16,0.0,False,True,targeted_nonlinear_pde
all_concave,0.5,0.5,0.5,0.1584375,basin_boundary_state,basin_boundary_heterogeneity,20260702,3200.0,persistent_steady,persistent_basin,persistent_basin,False,0.64166666666665,0.045860561601583236,-1.0310367278547521e-12,8.377819824049915e-16,0.06846736656783484,0.07247247363315533,1.5094256607280394,2.2129251153360675e-16,8.233105643694849e-16,1.749471959869104e-15,0.1615204722132163,0.5296575842890103,1.8484253024353858,False,True,targeted_nonlinear_pde
all_convex,2.0,2.0,2.0,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,persistent_steady,persistent_basin,persistent_basin,False,0.641666666666674,0.4627642939305072,0.0,8.837458152705809e-16,0.0,1.7302177007145293e-16,3.59866687810197e-16,0.0,1.73021770071451e-16,2.399111252070535e-16,1.8376105235175774e-16,3.4604354014386264e-16,3.59866687810197e-16,False,True,targeted_nonlinear_pde
all_convex,2.0,2.0,2.0,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,persistent_steady,persistent_basin,persistent_basin,False,0.6416666666666085,0.46276429393051477,-1.8167285857503876e-14,6.322566580856842e-16,0.0,1.7302177007145293e-16,0.06885423309308485,6.247877759232785e-15,2.4235558967500866e-14,6.0543751867373136e-15,0.03887433280434607,0.16437850498090859,0.06885423309308485,False,True,targeted_nonlinear_pde
all_convex,2.0,2.0,2.0,0.1584375,compensation_branch_state,random_heterogeneity,20260702,3200.0,persistent_steady,persistent_basin,persistent_basin,False,0.6416666666666652,0.46276429393050705,-2.5953265510717333e-14,6.793032854663245e-16,0.027386946627133937,0.028988989453262132,0.052973881629676325,1.3108846108694853e-14,5.0913147737641595e-14,1.0245681696350963e-14,0.027386946627133937,0.08451667781122192,0.052973881629676325,False,True,targeted_nonlinear_pde
all_convex,2.0,2.0,2.0,0.1584375,basin_boundary_state,homogeneous_control,20260702,3200.0,persistent_steady,persistent_basin,persistent_basin,False,1.3093869639070337,0.0,0.0,3.5841101374310285e-16,1.8376105235153676e-16,0.0,0.0,2.5391814043774e-16,1.6957905573038564e-16,0.0,3.808771801204406e-16,3.403089017069604e-16,0.0,False,True,targeted_nonlinear_pde
all_convex,2.0,2.0,2.0,0.1584375,basin_boundary_state,basin_boundary_heterogeneity,20260702,3200.0,declining_transient,transient_basin,persistent_basin,True,0.736919150452559,0.41870657064021133,-0.2605126269748531,0.00020130991594033648,0.06846736656783484,0.07247247363315533,1.5094256607280394,0.042896452753628224,0.1550150748756311,0.08835701603614565,0.13648981935046212,0.3271683541437686,1.5094256607280394,True,True,targeted_nonlinear_pde
mixed_growth_concave_conversion_convex,0.5,0.5,2.0,0.1584375,compensation_branch_state,homogeneous_control,20260702,3200.0,persistent_steady,persistent_basin,persistent_basin,False,0.6416666666666059,0.46276429393052065,0.0,8.83915088385197e-16,0.0,0.0,3.59866687810197e-16,1.8376105235174598e-16,1.7302177007146932e-16,2.399111252070466e-16,3.675221047034898e-16,3.4604354014317096e-16,3.5986668781048986e-16,False,True,targeted_nonlinear_pde
mixed_growth_concave_conversion_convex,0.5,0.5,2.0,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,persistent_steady,persistent_basin,persistent_basin,False,0.641666666666595,0.4627642939305242,2.2562038817325078e-13,7.260635666023395e-16,0.0,0.0,0.06885423309308485,2.993242592047433e-15,1.3033092330669501e-14,6.839281533681335e-15,0.02610831742151061,0.12306968045202127,0.06885423309308485,False,True,targeted_nonlinear_pde
mixed_growth_concave_conversion_convex,0.5,0.5,2.0,0.1584375,compensation_branch_state,random_heterogeneity,20260702,3200.0,persistent_steady,persistent_basin,persistent_basin,False,0.641666666666657,0.46276429393050766,-1.8686351167716853e-14,6.867269370812075e-16,0.027386946627133937,0.02898898945326214,0.052973881629676325,2.2473952521048812e-14,9.699069736924814e-14,3.6662144484114443e-14,0.027386946627133937,0.05870202509155562,0.052973881629676325,False,True,targeted_nonlinear_pde
mixed_growth_concave_conversion_convex,0.5,0.5,2.0,0.1584375,basin_boundary_state,homogeneous_control,20260702,3200.0,persistent_steady,persistent_basin,persistent_basin,False,1.3093869639070337,0.0,0.0,3.5841101374310285e-16,1.8376105235153676e-16,0.0,0.0,2.5391814043774e-16,1.6957905573038564e-16,0.0,3.808771801204406e-16,3.403089017069604e-16,0.0,False,True,targeted_nonlinear_pde
mixed_growth_concave_conversion_convex,0.5,0.5,2.0,0.1584375,basin_boundary_state,basin_boundary_heterogeneity,20260702,3200.0,persistent_steady,persistent_basin,persistent_basin,False,0.6416666666667274,0.46276429393048907,-6.110888414928445e-10,7.388113868307851e-16,0.06846736656783484,0.07247247363315533,1.5094256607280394,2.0810245119413657e-16,7.594090891395646e-16,3.7222313730664293e-16,0.06846736656783484,0.24277680477945765,1.5094256607280394,False,True,targeted_nonlinear_pde
all_convex,2.0,2.0,2.0,0.1584375,basin_boundary_state,homogeneous_control,20260702,6400.0,persistent_steady,persistent_basin,persistent_basin,False,1.3093869639070337,0.0,0.0,3.5841101374310285e-16,1.8376105235153676e-16,0.0,0.0,2.5391814043774e-16,1.6957905573038564e-16,0.0,3.808771801204406e-16,3.403089017069604e-16,0.0,False,True,targeted_nonlinear_pde
all_convex,2.0,2.0,2.0,0.1584375,basin_boundary_state,basin_boundary_heterogeneity,20260702,6400.0,persistent_steady,persistent_basin,persistent_basin,False,0.6416666666666523,0.46276429393050433,-0.0038514555494410614,6.554329661363938e-16,0.06846736656783484,0.07247247363315533,1.5094256607280394,1.7683698324867985e-14,6.88141782643931e-14,1.5348329291267038e-14,0.13648981935046212,0.3271683541437686,1.5094256607280394,False,True,targeted_nonlinear_pde
