r_v,a_v,b_u,b_v,b_v_over_b_u,c,valid_c_positive,valid_denominator,valid_z,valid_w,valid_n,s_q0,s_q1,interior_stress_interval_low,interior_stress_interval_high,interior_interval_length,branch_exists_at_s_0,branch_exists_at_s_0p11765625,branch_exists_at_s_0p1584375,branch_exists_at_s_0p16486816,branch_exists_at_s_0p175,stability_at_s_0p1584375,stability_at_s_0p16486816,condition_class
0.55,0.25,0.06,0.015,0.25,0.6,True,True,True,True,True,0.10349999999999995,-0.172875,-0.172875,0.10349999999999995,0.2763749999999999,True,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.25,0.06,0.03,0.5,0.6,True,True,True,True,True,0.10349999999999995,-0.08075000000000002,-0.08075000000000002,0.10349999999999995,0.18424999999999997,True,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.25,0.06,0.045,0.75,0.6,True,True,True,True,True,0.10349999999999995,0.011374999999999968,0.011374999999999968,0.10349999999999995,0.09212499999999998,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.25,0.08,0.02,0.25,0.6,True,True,True,True,True,0.2263333333333333,-0.14216666666666666,-0.14216666666666666,0.2263333333333333,0.36849999999999994,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.55,0.25,0.08,0.04,0.5,0.6,True,True,True,True,True,0.2263333333333333,-0.01933333333333334,-0.01933333333333334,0.2263333333333333,0.24566666666666664,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.55,0.25,0.08,0.06,0.75,0.6,True,True,True,True,True,0.2263333333333333,0.10349999999999995,0.10349999999999995,0.2263333333333333,0.12283333333333335,False,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.55,0.25,0.1,0.025,0.25,0.6,True,True,True,True,True,0.34916666666666674,-0.11145833333333333,-0.11145833333333333,0.34916666666666674,0.46062500000000006,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.55,0.25,0.1,0.05,0.5,0.6,True,True,True,True,True,0.34916666666666674,0.04208333333333336,0.04208333333333336,0.34916666666666674,0.3070833333333334,False,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.55,0.25,0.1,0.07500000000000001,0.7500000000000001,0.6,True,True,True,True,True,0.34916666666666674,0.19562500000000008,0.19562500000000008,0.34916666666666674,0.15354166666666666,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.3,0.06,0.015,0.25,0.6428571428571428,True,True,True,True,True,0.08422799999999997,-0.20244299999999998,-0.20244299999999998,0.08422799999999997,0.28667099999999995,True,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.3,0.06,0.03,0.5,0.6428571428571428,True,True,True,True,True,0.08422799999999997,-0.10688599999999998,-0.10688599999999998,0.08422799999999997,0.19111399999999995,True,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.3,0.06,0.045,0.75,0.6428571428571428,True,True,True,True,True,0.08422799999999997,-0.011329000000000006,-0.011329000000000006,0.08422799999999997,0.09555699999999998,True,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.3,0.08,0.02,0.25,0.6428571428571428,True,True,True,True,True,0.21163733333333334,-0.17059066666666664,-0.17059066666666664,0.21163733333333334,0.382228,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.55,0.3,0.08,0.04,0.5,0.6428571428571428,True,True,True,True,True,0.21163733333333334,-0.04318133333333332,-0.04318133333333332,0.21163733333333334,0.25481866666666664,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.55,0.3,0.08,0.06,0.75,0.6428571428571428,True,True,True,True,True,0.21163733333333334,0.08422799999999997,0.08422799999999997,0.21163733333333334,0.12740933333333337,False,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.55,0.3,0.1,0.025,0.25,0.6428571428571428,True,True,True,True,True,0.3390466666666667,-0.1387383333333333,-0.1387383333333333,0.3390466666666667,0.477785,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.55,0.3,0.1,0.05,0.5,0.6428571428571428,True,True,True,True,True,0.3390466666666667,0.020523333333333366,0.020523333333333366,0.3390466666666667,0.3185233333333334,False,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.55,0.3,0.1,0.07500000000000001,0.7500000000000001,0.6428571428571428,True,True,True,True,True,0.3390466666666667,0.17978500000000008,0.17978500000000008,0.3390466666666667,0.15926166666666663,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.35,0.06,0.015,0.25,0.6923076923076922,True,True,True,True,True,0.043068750000000156,-0.2498578124999999,-0.2498578124999999,0.043068750000000156,0.29292656250000004,True,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.35,0.06,0.03,0.5,0.6923076923076922,True,True,True,True,True,0.043068750000000156,-0.15221562499999988,-0.15221562499999988,0.043068750000000156,0.19528437500000004,True,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.35,0.06,0.045,0.75,0.6923076923076922,True,True,True,True,True,0.043068750000000156,-0.054573437499999905,-0.054573437499999905,0.043068750000000156,0.09764218750000006,True,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.35,0.08,0.02,0.25,0.6923076923076922,True,True,True,True,True,0.17325833333333346,-0.21731041666666656,-0.21731041666666656,0.17325833333333346,0.39056875,True,True,True,True,False,stable,stable,valid_stable_compensation_branch
0.55,0.35,0.08,0.04,0.5,0.6923076923076922,True,True,True,True,True,0.17325833333333346,-0.08712083333333323,-0.08712083333333323,0.17325833333333346,0.2603791666666667,True,True,True,True,False,stable,stable,valid_stable_compensation_branch
0.55,0.35,0.08,0.06,0.75,0.6923076923076922,True,True,True,True,True,0.17325833333333346,0.043068750000000156,0.043068750000000156,0.17325833333333346,0.1301895833333333,False,True,True,True,False,stable,stable,valid_stable_compensation_branch
0.55,0.35,0.1,0.025,0.25,0.6923076923076922,True,True,True,True,True,0.3034479166666669,-0.1847630208333332,-0.1847630208333332,0.3034479166666669,0.4882109375000001,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.55,0.35,0.1,0.05,0.5,0.6923076923076922,True,True,True,True,True,0.3034479166666669,-0.022026041666666524,-0.022026041666666524,0.3034479166666669,0.32547395833333337,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.55,0.35,0.1,0.07500000000000001,0.7500000000000001,0.6923076923076922,True,True,True,True,True,0.3034479166666669,0.14071093750000024,0.14071093750000024,0.3034479166666669,0.16273697916666663,False,False,True,True,True,stable,stable,valid_stable_compensation_branch
0.55,0.4,0.06,0.015,0.25,0.75,True,True,True,True,True,-0.05820000000000014,-0.33705000000000007,-0.33705000000000007,-0.05820000000000014,0.27884999999999993,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.4,0.06,0.03,0.5,0.75,True,True,True,True,True,-0.05820000000000014,-0.2441000000000001,-0.2441000000000001,-0.05820000000000014,0.18589999999999995,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.4,0.06,0.045,0.75,0.75,True,True,True,True,True,-0.05820000000000014,-0.1511500000000001,-0.1511500000000001,-0.05820000000000014,0.09294999999999995,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.4,0.08,0.02,0.25,0.75,True,True,True,True,True,0.0657333333333332,-0.30606666666666676,-0.30606666666666676,0.0657333333333332,0.37179999999999996,True,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.4,0.08,0.04,0.5,0.75,True,True,True,True,True,0.0657333333333332,-0.18213333333333342,-0.18213333333333342,0.0657333333333332,0.24786666666666662,True,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.4,0.08,0.06,0.75,0.75,True,True,True,True,True,0.0657333333333332,-0.05820000000000014,-0.05820000000000014,0.0657333333333332,0.12393333333333334,True,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.4,0.1,0.025,0.25,0.75,True,True,True,True,True,0.18966666666666665,-0.2750833333333334,-0.2750833333333334,0.18966666666666665,0.46475000000000005,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.55,0.4,0.1,0.05,0.5,0.75,True,True,True,True,True,0.18966666666666665,-0.12016666666666673,-0.12016666666666673,0.18966666666666665,0.3098333333333334,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.55,0.4,0.1,0.07500000000000001,0.7500000000000001,0.75,True,True,True,True,True,0.18966666666666665,0.03474999999999995,0.03474999999999995,0.18966666666666665,0.1549166666666667,False,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.55,0.45,0.06,0.015,0.25,0.818181818181818,True,True,True,True,True,-0.38324999999999865,-0.5420624999999993,-0.5420624999999993,-0.38324999999999865,0.1588125000000007,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.45,0.06,0.03,0.5,0.818181818181818,True,True,True,True,True,-0.38324999999999865,-0.4891249999999991,-0.4891249999999991,-0.38324999999999865,0.10587500000000044,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.45,0.06,0.045,0.75,0.818181818181818,True,True,True,True,True,-0.38324999999999865,-0.4361874999999989,-0.4361874999999989,-0.38324999999999865,0.05293750000000025,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.45,0.08,0.02,0.25,0.818181818181818,True,True,True,True,True,-0.3126666666666651,-0.5244166666666659,-0.5244166666666659,-0.3126666666666651,0.21175000000000077,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.45,0.08,0.04,0.5,0.818181818181818,True,True,True,True,True,-0.3126666666666651,-0.4538333333333323,-0.4538333333333323,-0.3126666666666651,0.14116666666666722,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.45,0.08,0.06,0.75,0.818181818181818,True,True,True,True,True,-0.3126666666666651,-0.38324999999999865,-0.38324999999999865,-0.3126666666666651,0.07058333333333355,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.45,0.1,0.025,0.25,0.818181818181818,True,True,True,True,True,-0.24208333333333137,-0.5067708333333325,-0.5067708333333325,-0.24208333333333137,0.26468750000000113,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.45,0.1,0.05,0.5,0.818181818181818,True,True,True,True,True,-0.24208333333333137,-0.4185416666666655,-0.4185416666666655,-0.24208333333333137,0.1764583333333341,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.45,0.1,0.07500000000000001,0.7500000000000001,0.818181818181818,True,True,True,True,True,-0.24208333333333137,-0.33031249999999845,-0.33031249999999845,-0.24208333333333137,0.08822916666666708,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.6,0.25,0.06,0.015,0.25,0.5333333333333333,True,True,True,True,True,0.11792346938775503,-0.13980484693877554,-0.13980484693877554,0.11792346938775503,0.2577283163265306,True,True,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.6,0.25,0.06,0.03,0.5,0.5333333333333333,True,True,True,True,True,0.11792346938775503,-0.05389540816326535,-0.05389540816326535,0.11792346938775503,0.17181887755102038,True,True,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.6,0.25,0.06,0.045,0.75,0.5333333333333333,True,True,True,True,True,0.11792346938775503,0.032014030612244865,0.032014030612244865,0.11792346938775503,0.08590943877551016,False,True,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.6,0.25,0.08,0.02,0.25,0.5333333333333333,True,True,True,True,True,0.232469387755102,-0.1111683673469388,-0.1111683673469388,0.232469387755102,0.3436377551020408,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.6,0.25,0.08,0.04,0.5,0.5333333333333333,True,True,True,True,True,0.232469387755102,0.003377551020408126,0.003377551020408126,0.232469387755102,0.22909183673469388,False,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.6,0.25,0.08,0.06,0.75,0.5333333333333333,True,True,True,True,True,0.232469387755102,0.11792346938775503,0.11792346938775503,0.232469387755102,0.11454591836734698,False,False,True,True,True,stable,stable,valid_stable_compensation_branch
0.6,0.25,0.1,0.025,0.25,0.5333333333333333,True,True,True,True,True,0.34701530612244896,-0.08253188775510206,-0.08253188775510206,0.34701530612244896,0.429547193877551,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.6,0.25,0.1,0.05,0.5,0.5333333333333333,True,True,True,True,True,0.34701530612244896,0.060650510204081604,0.060650510204081604,0.34701530612244896,0.2863647959183674,False,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.6,0.25,0.1,0.07500000000000001,0.7500000000000001,0.5333333333333333,True,True,True,True,True,0.34701530612244896,0.20383290816326533,0.20383290816326533,0.34701530612244896,0.14318239795918364,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.6,0.3,0.06,0.015,0.25,0.5714285714285715,True,True,True,True,True,0.11138333333333328,-0.1571541666666667,-0.1571541666666667,0.11138333333333328,0.2685375,True,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.6,0.3,0.06,0.03,0.5,0.5714285714285715,True,True,True,True,True,0.11138333333333328,-0.06764166666666671,-0.06764166666666671,0.11138333333333328,0.179025,True,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.6,0.3,0.06,0.045,0.75,0.5714285714285715,True,True,True,True,True,0.11138333333333328,0.02187083333333331,0.02187083333333331,0.11138333333333328,0.08951249999999997,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.6,0.3,0.08,0.02,0.25,0.5714285714285715,True,True,True,True,True,0.23073333333333335,-0.1273166666666667,-0.1273166666666667,0.23073333333333335,0.35805000000000003,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.6,0.3,0.08,0.04,0.5,0.5714285714285715,True,True,True,True,True,0.23073333333333335,-0.007966666666666677,-0.007966666666666677,0.23073333333333335,0.23870000000000002,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.6,0.3,0.08,0.06,0.75,0.5714285714285715,True,True,True,True,True,0.23073333333333335,0.11138333333333328,0.11138333333333328,0.23073333333333335,0.11935000000000007,False,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.6,0.3,0.1,0.025,0.25,0.5714285714285715,True,True,True,True,True,0.3500833333333334,-0.0974791666666667,-0.0974791666666667,0.3500833333333334,0.4475625000000001,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.6,0.3,0.1,0.05,0.5,0.5714285714285715,True,True,True,True,True,0.3500833333333334,0.05170833333333333,0.05170833333333333,0.3500833333333334,0.29837500000000006,False,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.6,0.3,0.1,0.07500000000000001,0.7500000000000001,0.5714285714285715,True,True,True,True,True,0.3500833333333334,0.20089583333333338,0.20089583333333338,0.3500833333333334,0.14918750000000003,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.6,0.35,0.06,0.015,0.25,0.6153846153846154,True,True,True,True,True,0.09780199999999994,-0.18254950000000003,-0.18254950000000003,0.09780199999999994,0.2803515,True,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.6,0.35,0.06,0.03,0.5,0.6153846153846154,True,True,True,True,True,0.09780199999999994,-0.08909900000000004,-0.08909900000000004,0.09780199999999994,0.18690099999999998,True,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.6,0.35,0.06,0.045,0.75,0.6153846153846154,True,True,True,True,True,0.09780199999999994,0.00435149999999998,0.00435149999999998,0.09780199999999994,0.09345049999999996,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.6,0.35,0.08,0.02,0.25,0.6153846153846154,True,True,True,True,True,0.22240266666666664,-0.15139933333333339,-0.15139933333333339,0.22240266666666664,0.373802,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.6,0.35,0.08,0.04,0.5,0.6153846153846154,True,True,True,True,True,0.22240266666666664,-0.026798666666666693,-0.026798666666666693,0.22240266666666664,0.24920133333333333,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.6,0.35,0.08,0.06,0.75,0.6153846153846154,True,True,True,True,True,0.22240266666666664,0.09780199999999994,0.09780199999999994,0.22240266666666664,0.12460066666666669,False,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.6,0.35,0.1,0.025,0.25,0.6153846153846154,True,True,True,True,True,0.34700333333333344,-0.12024916666666668,-0.12024916666666668,0.34700333333333344,0.4672525000000001,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.6,0.35,0.1,0.05,0.5,0.6153846153846154,True,True,True,True,True,0.34700333333333344,0.03550166666666668,0.03550166666666668,0.34700333333333344,0.3115016666666668,False,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.6,0.35,0.1,0.07500000000000001,0.7500000000000001,0.6153846153846154,True,True,True,True,True,0.34700333333333344,0.19125250000000005,0.19125250000000005,0.34700333333333344,0.1557508333333334,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.6,0.4,0.06,0.015,0.25,0.6666666666666667,True,True,True,True,True,0.06774999999999995,-0.2230625000000001,-0.2230625000000001,0.06774999999999995,0.29081250000000003,True,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.6,0.4,0.06,0.03,0.5,0.6666666666666667,True,True,True,True,True,0.06774999999999995,-0.1261250000000001,-0.1261250000000001,0.06774999999999995,0.19387500000000005,True,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.6,0.4,0.06,0.045,0.75,0.6666666666666667,True,True,True,True,True,0.06774999999999995,-0.02918750000000009,-0.02918750000000009,0.06774999999999995,0.09693750000000004,True,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.6,0.4,0.08,0.02,0.25,0.6666666666666667,True,True,True,True,True,0.19700000000000004,-0.1907500000000001,-0.1907500000000001,0.19700000000000004,0.38775000000000015,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.6,0.4,0.08,0.04,0.5,0.6666666666666667,True,True,True,True,True,0.19700000000000004,-0.061500000000000055,-0.061500000000000055,0.19700000000000004,0.25850000000000006,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.6,0.4,0.08,0.06,0.75,0.6666666666666667,True,True,True,True,True,0.19700000000000004,0.06774999999999995,0.06774999999999995,0.19700000000000004,0.1292500000000001,False,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.6,0.4,0.1,0.025,0.25,0.6666666666666667,True,True,True,True,True,0.32625000000000015,-0.15843750000000006,-0.15843750000000006,0.32625000000000015,0.4846875000000002,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.6,0.4,0.1,0.05,0.5,0.6666666666666667,True,True,True,True,True,0.32625000000000015,0.003124999999999989,0.003124999999999989,0.32625000000000015,0.32312500000000016,False,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.6,0.4,0.1,0.07500000000000001,0.7500000000000001,0.6666666666666667,True,True,True,True,True,0.32625000000000015,0.16468750000000007,0.16468750000000007,0.32625000000000015,0.16156250000000008,False,False,False,True,True,not_interior,stable,valid_branch_outside_target_stress
0.6,0.45,0.06,0.015,0.25,0.7272727272727273,True,True,True,True,True,-0.008149999999999935,-0.29703750000000007,-0.29703750000000007,-0.008149999999999935,0.28888750000000013,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.6,0.45,0.06,0.03,0.5,0.7272727272727273,True,True,True,True,True,-0.008149999999999935,-0.20074166666666668,-0.20074166666666668,-0.008149999999999935,0.19259166666666674,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.6,0.45,0.06,0.045,0.75,0.7272727272727273,True,True,True,True,True,-0.008149999999999935,-0.10444583333333332,-0.10444583333333332,-0.008149999999999935,0.09629583333333339,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.6,0.45,0.08,0.02,0.25,0.7272727272727273,True,True,True,True,True,0.12024444444444454,-0.26493888888888895,-0.26493888888888895,0.12024444444444454,0.3851833333333335,True,True,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.6,0.45,0.08,0.04,0.5,0.7272727272727273,True,True,True,True,True,0.12024444444444454,-0.13654444444444444,-0.13654444444444444,0.12024444444444454,0.25678888888888896,True,True,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.6,0.45,0.08,0.06,0.75,0.7272727272727273,True,True,True,True,True,0.12024444444444454,-0.008149999999999935,-0.008149999999999935,0.12024444444444454,0.12839444444444448,True,True,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.6,0.45,0.1,0.025,0.25,0.7272727272727273,True,True,True,True,True,0.24863888888888902,-0.2328402777777778,-0.2328402777777778,0.24863888888888902,0.4814791666666668,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.6,0.45,0.1,0.05,0.5,0.7272727272727273,True,True,True,True,True,0.24863888888888902,-0.0723472222222222,-0.0723472222222222,0.24863888888888902,0.3209861111111112,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.6,0.45,0.1,0.07500000000000001,0.7500000000000001,0.7272727272727273,True,True,True,True,True,0.24863888888888902,0.08814583333333342,0.08814583333333342,0.24863888888888902,0.1604930555555556,False,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.65,0.25,0.06,0.015,0.25,0.4666666666666666,True,True,True,True,True,0.12266406249999995,-0.116521484375,-0.116521484375,0.12266406249999995,0.23918554687499993,True,True,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.65,0.25,0.06,0.03,0.5,0.4666666666666666,True,True,True,True,True,0.12266406249999995,-0.036792968750000016,-0.036792968750000016,0.12266406249999995,0.15945703124999996,True,True,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.65,0.25,0.06,0.045,0.75,0.4666666666666666,True,True,True,True,True,0.12266406249999995,0.04293554687499998,0.04293554687499998,0.12266406249999995,0.07972851562499997,False,True,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.65,0.25,0.08,0.02,0.25,0.4666666666666666,True,True,True,True,True,0.22896875000000003,-0.08994531249999999,-0.08994531249999999,0.22896875000000003,0.3189140625,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.65,0.25,0.08,0.04,0.5,0.4666666666666666,True,True,True,True,True,0.22896875000000003,0.01635937500000001,0.01635937500000001,0.22896875000000003,0.21260937500000002,False,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.65,0.25,0.08,0.06,0.75,0.4666666666666666,True,True,True,True,True,0.22896875000000003,0.12266406249999995,0.12266406249999995,0.22896875000000003,0.10630468750000008,False,False,True,True,True,stable,stable,valid_stable_compensation_branch
0.65,0.25,0.1,0.025,0.25,0.4666666666666666,True,True,True,True,True,0.33527343750000005,-0.06336914062499999,-0.06336914062499999,0.33527343750000005,0.39864257812500004,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.65,0.25,0.1,0.05,0.5,0.4666666666666666,True,True,True,True,True,0.33527343750000005,0.06951171875,0.06951171875,0.33527343750000005,0.26576171875000004,False,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.65,0.25,0.1,0.07500000000000001,0.7500000000000001,0.4666666666666666,True,True,True,True,True,0.33527343750000005,0.20239257812499997,0.20239257812499997,0.33527343750000005,0.13288085937500008,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.65,0.3,0.06,0.015,0.25,0.5,True,True,True,True,True,0.12109999999999999,-0.12722500000000003,-0.12722500000000003,0.12109999999999999,0.24832500000000002,True,True,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.65,0.3,0.06,0.03,0.5,0.5,True,True,True,True,True,0.12109999999999999,-0.04445000000000002,-0.04445000000000002,0.12109999999999999,0.16555,True,True,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.65,0.3,0.06,0.045,0.75,0.5,True,True,True,True,True,0.12109999999999999,0.03832499999999997,0.03832499999999997,0.12109999999999999,0.08277500000000002,False,True,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.65,0.3,0.08,0.02,0.25,0.5,True,True,True,True,True,0.23146666666666668,-0.09963333333333335,-0.09963333333333335,0.23146666666666668,0.33110000000000006,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.65,0.3,0.08,0.04,0.5,0.5,True,True,True,True,True,0.23146666666666668,0.010733333333333317,0.010733333333333317,0.23146666666666668,0.22073333333333336,False,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.65,0.3,0.08,0.06,0.75,0.5,True,True,True,True,True,0.23146666666666668,0.12109999999999999,0.12109999999999999,0.23146666666666668,0.1103666666666667,False,False,True,True,True,stable,stable,valid_stable_compensation_branch
0.65,0.3,0.1,0.025,0.25,0.5,True,True,True,True,True,0.34183333333333343,-0.07204166666666667,-0.07204166666666667,0.34183333333333343,0.4138750000000001,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.65,0.3,0.1,0.05,0.5,0.5,True,True,True,True,True,0.34183333333333343,0.06591666666666668,0.06591666666666668,0.34183333333333343,0.27591666666666675,False,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.65,0.3,0.1,0.07500000000000001,0.7500000000000001,0.5,True,True,True,True,True,0.34183333333333343,0.2038750000000001,0.2038750000000001,0.34183333333333343,0.13795833333333332,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.65,0.35,0.06,0.015,0.25,0.5384615384615384,True,True,True,True,True,0.11725000000000002,-0.1419375,-0.1419375,0.11725000000000002,0.2591875,True,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.65,0.35,0.06,0.03,0.5,0.5384615384615384,True,True,True,True,True,0.11725000000000002,-0.055541666666666656,-0.055541666666666656,0.11725000000000002,0.17279166666666668,True,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.65,0.35,0.06,0.045,0.75,0.5384615384615384,True,True,True,True,True,0.11725000000000002,0.030854166666666683,0.030854166666666683,0.11725000000000002,0.08639583333333334,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.65,0.35,0.08,0.02,0.25,0.5384615384615384,True,True,True,True,True,0.23244444444444454,-0.11313888888888887,-0.11313888888888887,0.23244444444444454,0.3455833333333334,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
