r_v,a_v,b_u,b_v,b_v_over_b_u,stress,branch_exists,A1,A2,A3,A1A2_minus_A3,routh_hurwitz_stable,max_real_eigenvalue,rh_matches_eigenvalue,condition_class
0.55,0.25,0.06,0.015,0.25,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.25,0.06,0.015,0.25,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.25,0.06,0.03,0.5,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.25,0.06,0.03,0.5,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.25,0.06,0.045,0.75,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.25,0.06,0.045,0.75,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.25,0.08,0.02,0.25,0.1584375,True,4.515388257575758,0.32207312065913385,0.0030614655598958395,1.4512237215451373,True,-0.011287146890129895,True,branch_stable
0.55,0.25,0.08,0.02,0.25,0.16486816,True,4.554322980848485,0.31458748072450504,0.0028307923260654914,1.4299022006247777,True,-0.010630690639284809,True,branch_stable
0.55,0.25,0.08,0.04,0.5,0.1584375,True,4.330217803030303,0.33099957161369886,0.002715727246093752,1.4305845105509487,True,-0.009344496102692062,True,branch_stable
0.55,0.25,0.08,0.04,0.5,0.16486816,True,4.386690689939394,0.3232420604467592,0.0025474447610982385,1.415415492397527,True,-0.008970812253380608,True,branch_stable
0.55,0.25,0.08,0.06,0.75,0.1584375,True,3.774706439393939,0.3577789244774001,0.0016785123046875003,1.3488318977995926,True,-0.004949610232644978,True,branch_stable
0.55,0.25,0.08,0.06,0.75,0.16486816,True,3.8837938172121227,0.3492057996135154,0.0016974020661964797,1.3545459234073902,True,-0.005156025787263369,True,branch_stable
0.55,0.25,0.1,0.025,0.25,0.1584375,True,4.05345643939394,0.3479039402773072,0.006177240885416667,1.4040362261221588,True,-0.024982521926565464,True,branch_stable
0.55,0.25,0.1,0.025,0.25,0.16486816,True,4.0853758972121215,0.34244595777960285,0.006111187208852402,1.392909274801657,True,-0.025638385816025174,True,branch_stable
0.55,0.25,0.1,0.05,0.5,0.1584375,True,3.637320075757575,0.36670567604095883,0.003994583984375002,1.3298313333736582,True,-0.012417339580213332,True,branch_stable
0.55,0.25,0.1,0.05,0.5,0.16486816,True,3.683270064484849,0.36198965102940583,0.004073230835278597,1.3292324144546488,True,-0.01295369438167099,True,branch_stable
0.55,0.25,0.1,0.07500000000000001,0.75,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.25,0.1,0.07500000000000001,0.75,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.3,0.06,0.015,0.25,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.3,0.06,0.015,0.25,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.3,0.06,0.03,0.5,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.3,0.06,0.03,0.5,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.3,0.06,0.045,0.75,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.3,0.06,0.045,0.75,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.3,0.08,0.02,0.25,0.1584375,True,4.369000676406925,0.5062467419932393,0.0023443183431212868,2.209448039854143,True,-0.004832063938791361,True,branch_stable
0.55,0.3,0.08,0.02,0.25,0.16486816,True,4.40445282147186,0.5028260091242132,0.002101223037129913,2.212572211559446,True,-0.004343953478648426,True,branch_stable
0.55,0.3,0.08,0.04,0.5,0.1584375,True,4.239455627705627,0.5033516493407486,0.002154794530619426,2.1317821879819263,True,-0.004447301624510165,True,branch_stable
0.55,0.3,0.08,0.04,0.5,0.16486816,True,4.290566847445886,0.5005877104331766,0.001954748333494863,2.145850286289934,True,-0.004045015501223208,True,branch_stable
0.55,0.3,0.08,0.06,0.75,0.1584375,True,3.8508204816017306,0.4946663713832855,0.0015862230931138418,1.9032851713892502,True,-0.003290887993400303,True,branch_stable
0.55,0.3,0.08,0.06,0.75,0.16486816,True,3.948908925367965,0.49387281436007147,0.0015153242225897175,1.9487434404004924,True,-0.0031473917715946964,True,branch_stable
0.55,0.3,0.1,0.025,0.25,0.1584375,True,3.9244186958874456,0.500822284734233,0.005750644244122027,1.9596856932839675,True,-0.012752618856224194,True,branch_stable
0.55,0.3,0.1,0.025,0.25,0.16486816,True,3.95360721108225,0.49857390036622906,0.005665899173903927,1.9654994685714224,True,-0.012623896117786797,True,branch_stable
0.55,0.3,0.1,0.05,0.5,0.1584375,True,3.572582656926406,0.49158857530224154,0.004003161864620537,1.752237656603328,True,-0.008690903888866825,True,branch_stable
0.55,0.3,0.1,0.05,0.5,0.16486816,True,3.6142984318614713,0.4905831591462002,0.004040641021155884,1.769073301778602,True,-0.008806365028636992,True,branch_stable
0.55,0.3,0.1,0.07500000000000001,0.75,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.3,0.1,0.07500000000000001,0.75,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.35,0.06,0.015,0.25,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.35,0.06,0.015,0.25,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.35,0.06,0.03,0.5,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.35,0.06,0.03,0.5,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.35,0.06,0.045,0.75,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.35,0.06,0.045,0.75,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.35,0.08,0.02,0.25,0.1584375,True,4.177245775058275,0.8688687789357044,0.0006425650671073825,3.6288358708221065,True,-0.0007421899517157313,True,branch_stable
0.55,0.35,0.08,0.02,0.25,0.16486816,True,4.208679560652681,0.8725650035582131,0.0003699859041369309,3.671976509912148,True,-0.0004248917058373921,True,branch_stable
0.55,0.35,0.08,0.04,0.5,0.1584375,True,4.146153117715618,0.8638180276884109,0.0006298925420673174,3.580891916097193,True,-0.0007317656217708795,True,branch_stable
0.55,0.35,0.08,0.04,0.5,0.16486816,True,4.191077798414918,0.8697296078664563,0.0003659246536428899,3.6447385254995748,True,-0.00042159021663965024,True,branch_stable
0.55,0.35,0.08,0.06,0.75,0.1584375,True,4.052875145687644,0.8486657739465349,0.0005918749669471246,3.438944547256733,True,-0.0006997562154134191,True,branch_stable
0.55,0.35,0.08,0.06,0.75,0.16486816,True,4.13827251170163,0.8612234207911795,0.00035374090216076527,3.563623467791624,True,-0.0004115561165960589,True,branch_stable
0.55,0.35,0.1,0.025,0.25,0.1584375,True,3.752682837995338,0.8061310457627462,0.004593936971654657,3.0205602036374373,True,-0.00585825970073786,True,branch_stable
0.55,0.35,0.1,0.025,0.25,0.16486816,True,3.778720265547786,0.8096504299610423,0.004472474211965792,3.0549700134913027,True,-0.005673984567320791,True,branch_stable
0.55,0.35,0.1,0.05,0.5,0.1584375,True,3.5093087121212116,0.7652809136711607,0.0036234129281851003,2.6819835646381,True,-0.0048421160021292955,True,branch_stable
0.55,0.35,0.1,0.05,0.5,0.16486816,True,3.5461388557575755,0.770927233212884,0.0035861196446830565,2.730228897013207,True,-0.004755585170599408,True,branch_stable
0.55,0.35,0.1,0.07500000000000001,0.75,0.1584375,True,2.7791863344988332,0.6427305173964104,0.0007118407977764335,1.785556029915692,True,-0.0011128792283580016,True,branch_stable
0.55,0.35,0.1,0.07500000000000001,0.75,0.16486816,True,2.8483946263869444,0.654757642968415,0.0009270559428348432,1.8640810958741798,True,-0.0014247022010468288,True,branch_stable
0.55,0.4,0.06,0.015,0.25,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.4,0.06,0.015,0.25,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.4,0.06,0.03,0.5,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.4,0.06,0.03,0.5,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.4,0.06,0.045,0.75,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.4,0.06,0.045,0.75,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.4,0.08,0.02,0.25,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.4,0.08,0.02,0.25,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.4,0.08,0.04,0.5,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.4,0.08,0.04,0.5,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.4,0.08,0.06,0.75,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.4,0.08,0.06,0.75,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.4,0.1,0.025,0.25,0.1584375,True,3.502824337121212,1.5843004305563735,0.0010153870768229145,5.548510718387657,True,-0.000641816226577616,True,branch_stable
0.55,0.4,0.1,0.025,0.25,0.16486816,True,3.525185495757576,1.6008610534165326,0.0008182605030327448,5.642513905724122,True,-0.000511714269253873,True,branch_stable
0.55,0.4,0.1,0.05,0.5,0.1584375,True,3.4602391098484846,1.5609632669283098,0.000978814794921872,5.400327330467275,True,-0.0006279320826312359,True,branch_stable
0.55,0.4,0.1,0.05,0.5,0.16486816,True,3.4913693503030303,1.5822645248047982,0.0007951992805491173,5.523474666694712,True,-0.0005031288645146052,True,branch_stable
0.55,0.4,0.1,0.07500000000000001,0.75,0.1584375,True,3.3324834280303035,1.4909517760441195,0.0008690979492187479,4.967702987710157,True,-0.000583676191140934,True,branch_stable
0.55,0.4,0.1,0.07500000000000001,0.75,0.16486816,True,3.389920913939395,1.5264749389695966,0.0007260156130982382,5.173903304604298,True,-0.0004761191592034331,True,branch_stable
0.55,0.45,0.06,0.015,0.25,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.45,0.06,0.015,0.25,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.45,0.06,0.03,0.5,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.45,0.06,0.03,0.5,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.45,0.06,0.045,0.75,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.45,0.06,0.045,0.75,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.45,0.08,0.02,0.25,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.45,0.08,0.02,0.25,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.45,0.08,0.04,0.5,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.45,0.08,0.04,0.5,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.45,0.08,0.06,0.75,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.45,0.08,0.06,0.75,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.45,0.1,0.025,0.25,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.45,0.1,0.025,0.25,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.45,0.1,0.05,0.5,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.45,0.1,0.05,0.5,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.45,0.1,0.07500000000000001,0.75,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.55,0.45,0.1,0.07500000000000001,0.75,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.25,0.06,0.015,0.25,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.25,0.06,0.015,0.25,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.25,0.06,0.03,0.5,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.25,0.06,0.03,0.5,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.25,0.06,0.045,0.75,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.25,0.06,0.045,0.75,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.25,0.08,0.02,0.25,0.1584375,True,4.771352813852812,0.14872184565165902,0.0031048004259293005,0.7064995963054975,True,-0.015618483307703039,True,branch_stable
0.6,0.25,0.08,0.02,0.25,0.16486816,True,4.8111579496911965,0.13734311862774717,0.002902730157274553,0.6578767068639922,True,-0.014295269376478114,True,branch_stable
0.6,0.25,0.08,0.04,0.5,0.1584375,True,4.561969696969696,0.17263422056487698,0.0026785221722394324,0.784873560704712,True,-0.019014634037174953,True,branch_stable
0.6,0.25,0.08,0.04,0.5,0.16486816,True,4.619962558060606,0.15997353086725674,0.0025472914688525524,0.7365244314186262,True,-0.017383993340147848,True,branch_stable
0.6,0.25,0.08,0.06,0.75,0.1584375,True,3.9338203463203456,0.24437134530452465,0.0013996874111698243,0.9599132828054441,True,-0.006382379609356781,True,branch_stable
0.6,0.25,0.08,0.06,0.75,0.16486816,True,4.046376383168831,0.22786476758578544,0.0014809754035865436,0.9205456387117904,True,-0.007495079061877992,True,branch_stable
0.6,0.25,0.1,0.025,0.25,0.1584375,True,4.336756854256852,0.20067689829408586,0.005654939544865566,0.8646319746230166,True,-0.02323372630863553,True,branch_stable
0.6,0.25,0.1,0.025,0.25,0.16486816,True,4.3692868999942265,0.19202865620352583,0.005607866463005253,0.8334204255105552,True,-0.02204899021314249,True,branch_stable
0.6,0.25,0.1,0.05,0.5,0.1584375,True,3.9100757575757568,0.24849679114659118,0.0034422184538994123,0.9681990604437527,True,-0.0203073803672554,True,branch_stable
0.6,0.25,0.1,0.05,0.5,0.16486816,True,3.957155983515151,0.23993182884900044,0.0035434835307041955,0.9459041886348509,True,-0.025063734480184462,True,branch_stable
0.6,0.25,0.1,0.07500000000000001,0.75,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.25,0.1,0.07500000000000001,0.75,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.3,0.06,0.015,0.25,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.3,0.06,0.015,0.25,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.3,0.06,0.03,0.5,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.3,0.06,0.03,0.5,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.3,0.06,0.045,0.75,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.3,0.06,0.045,0.75,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.3,0.08,0.02,0.25,0.1584375,True,4.652591991341991,0.2331370487008293,0.0029512622296627034,1.0817403034409232,True,-0.025259899137576168,True,branch_stable
0.6,0.3,0.08,0.02,0.25,0.16486816,True,4.689672680173159,0.22380400499240416,0.0027492577505385664,1.0468182701756765,True,-0.024044780509815886,True,branch_stable
0.6,0.3,0.08,0.04,0.5,0.1584375,True,4.464810606060605,0.24838103961870317,0.002577927406994049,1.1063963726269512,True,-0.013783461575637314,True,branch_stable
0.6,0.3,0.08,0.04,0.5,0.16486816,True,4.518594307878788,0.23833893284225738,0.00243938481780785,1.0745175604691208,True,-0.013872014040960104,True,branch_stable
0.6,0.3,0.08,0.06,0.75,0.1584375,True,3.901466450216449,0.294113012372331,0.001457922938988096,1.1460141274037567,True,-0.005333901660380129,True,branch_stable
0.6,0.3,0.08,0.06,0.75,0.16486816,True,4.005359190995671,0.2819437163918206,0.0015097660196156971,1.1277760897738398,True,-0.005838387883678343,True,branch_stable
0.6,0.3,0.1,0.025,0.25,0.1584375,True,4.231704545454545,0.2700569890003468,0.005605184325396833,1.137196203559139,True,-0.032241131612962506,True,branch_stable
0.6,0.3,0.1,0.025,0.25,0.16486816,True,4.262104029090908,0.26295220210313097,0.005553223495097524,1.115176416546984,True,-0.031147843470476753,True,branch_stable
0.6,0.3,0.1,0.05,0.5,0.1584375,True,3.8334794372294363,0.3013540584013139,0.003506434300595242,1.1517281519064801,True,-0.014186156083275716,True,branch_stable
0.6,0.3,0.1,0.05,0.5,0.16486816,True,3.877241331255411,0.2946543368416803,0.0035929571846462795,1.1388530160515704,True,-0.015236637716781697,True,branch_stable
0.6,0.3,0.1,0.07500000000000001,0.75,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.3,0.1,0.07500000000000001,0.75,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.35,0.06,0.015,0.25,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.35,0.06,0.015,0.25,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.35,0.06,0.03,0.5,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.35,0.06,0.03,0.5,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.35,0.06,0.045,0.75,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.35,0.06,0.045,0.75,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.35,0.08,0.02,0.25,0.1584375,True,4.501806915306915,0.37747112812195915,0.002540867267133195,1.696761267641005,True,-0.007379732017818825,True,branch_stable
0.6,0.35,0.08,0.02,0.25,0.16486816,True,4.535744011437451,0.3713159944853359,0.002332858231235464,1.6818614401065686,True,-0.006855983697999883,True,branch_stable
0.6,0.35,0.08,0.04,0.5,0.1584375,True,4.352703962703962,0.38140646862781225,0.002278588898755344,1.6578708584984474,True,-0.006447947715605846,True,branch_stable
0.6,0.35,0.08,0.04,0.5,0.16486816,True,4.401630942284382,0.3752837177932342,0.002120664676275422,1.6497397596979442,True,-0.006084434862452812,True,branch_stable
0.6,0.35,0.08,0.06,0.75,0.1584375,True,3.9053951048951046,0.39321249014537063,0.0014917537936217941,1.534158380403723,True,-0.003948445845963538,True,branch_stable
0.6,0.35,0.08,0.06,0.75,0.16486816,True,3.9992917348251753,0.38718688771693266,0.0014840840113952824,1.5469892358676167,True,-0.003997920129166637,True,branch_stable
0.6,0.35,0.1,0.025,0.25,0.1584375,True,4.096736985236984,0.39159573857739716,0.0053898239527065475,1.5988749215385096,True,-0.016653307983904454,True,branch_stable
0.6,0.35,0.1,0.025,0.25,0.16486816,True,4.1246781279875675,0.38698998781213234,0.005326142944899484,1.5908829955339783,True,-0.016736349134358442,True,branch_stable
0.6,0.35,0.1,0.05,0.5,0.1584375,True,3.7450990675990674,0.3997151089109696,0.003566384286004274,1.4934062974017277,True,-0.009824239257564706,True,branch_stable
0.6,0.35,0.1,0.05,0.5,0.16486816,True,3.785032117109557,0.3959164323834292,0.0036249521056603354,1.4949314601570534,True,-0.010135281047323282,True,branch_stable
0.6,0.35,0.1,0.07500000000000001,0.75,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.35,0.1,0.07500000000000001,0.75,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.4,0.06,0.015,0.25,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.4,0.06,0.015,0.25,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.4,0.06,0.03,0.5,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.4,0.06,0.03,0.5,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.4,0.06,0.045,0.75,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.4,0.06,0.045,0.75,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.6,0.4,0.08,0.02,0.25,0.1584375,True,4.299816919191919,0.654812646192644,0.0014961714409722192,2.8140783235589906,True,-0.0023202157099472985,True,branch_stable
0.6,0.4,0.08,0.02,0.25,0.16486816,True,4.3300864905050505,0.6541417064925916,0.0012696295353571525,2.8312205366241336,True,-0.001966495665916696,True,branch_stable
0.6,0.4,0.08,0.04,0.5,0.1584375,True,4.221912878787879,0.6486706533167439,0.0014135566406249954,2.737217428689083,True,-0.0022109586159683534,True,branch_stable
0.6,0.4,0.08,0.04,0.5,0.16486816,True,4.265173682424242,0.6491629448055551,0.0012122709163690634,2.7675804368733057,True,-0.0018909190881093538,True,branch_stable
0.6,0.4,0.08,0.06,0.75,0.1584375,True,3.9882007575757576,0.6302446746890435,0.0011657122395833319,2.512376576813347,True,-0.0018717787106249009,True,branch_stable
