run_id,stress,initial_condition_family,T,classification,tail_mean_w,tail_mean_q,q_change,relative_change_between_last_windows,normalized_residual,physical,min_n,min_w,min_q,max_q,min_z,basin_label,notes
BASIN_s0p141262205_baseline_burnin,0.141262205,baseline_burnin,1600.0,declining_transient,0.6416767991190964,0.26384865752164055,-0.40876608405974624,-0.05085163113692538,1.0454264142105873e-10,True,3.442364245366863,0.0008129614406312556,0.020136345395398526,0.6726482997526597,0.5672296112780176,transient_basin,window_change_indicates_transient
BASIN_s0p141262205_persistent_branch,0.141262205,persistent_branch,1600.0,persistent_steady,0.6416666666665999,0.26385022265092184,-4.836686606779494e-13,0.0,6.704052433327455e-16,True,4.833333333327461,0.6416666666452929,0.2638502226500534,0.26385022265140556,1.1916666666468454,persistent_basin,steady_by_tail_change_and_rhs_residual
BASIN_s0p141262205_extinct_branch,0.141262205,extinct_branch,1600.0,declining_transient,0.6416706735239404,0.26384735174654145,0.2637812530325608,-0.09128270104297988,9.658166693345943e-10,True,3.3485388871426194,0.6401237697834155,6.609812560813066e-05,0.26428172965925034,1.1902584536256096,transient_basin,window_change_indicates_transient
BASIN_s0p141262205_low_predator,0.141262205,low_predator,1600.0,declining_transient,0.6415561511344925,0.26385590775893114,-0.40875883382245565,-0.17759185013666934,6.202346055956858e-09,True,3.3979059471344235,0.00013951399686252413,0.010507349266302974,0.6726482997526597,0.5601209981609917,transient_basin,window_change_indicates_transient
BASIN_s0p141262205_low_defense,0.141262205,low_defense,1600.0,persistent_steady,0.6416666666291809,0.2638502226498892,0.1638502226498892,2.1022220353963218e-07,3.165783693228528e-15,True,3.834302521045414,0.640123770004056,0.09999997416876402,0.2642817294041885,1.1878071610088505,persistent_basin,steady_by_tail_change_and_rhs_residual
BASIN_s0p141262205_high_defense,0.141262205,high_defense,1600.0,declining_transient,1.262691789268457,0.06257318343968503,-0.8374268165603153,0.5875403230983363,0.0012658894437059282,True,3.3505674293687884,1.5785948617444035e-08,0.00043445371797262114,0.900000029137242,0.5508820403409607,transient_basin,window_change_indicates_transient
BASIN_s0p141262205_mixed_random,0.141262205,mixed_random,1600.0,declining_transient,0.6416767995391603,0.26384865728072826,-0.4087660843006585,-0.05085724832265511,1.0447453159634004e-10,True,3.4422789820226307,0.000808846940195583,0.02011774689975386,0.6759705587086804,0.5672146663693821,transient_basin,window_change_indicates_transient
BASIN_s0p15_baseline_burnin,0.15,baseline_burnin,1600.0,declining_transient,0.6685306349711784,0.23522183033008395,-0.43739291125130286,-0.4219283887191564,2.50165199078237e-07,True,3.437983379910108,0.00015336324472817287,0.0030235608874326467,0.6726482997526597,0.5557179099113783,transient_basin,window_change_indicates_transient
BASIN_s0p15_persistent_branch,0.15,persistent_branch,1600.0,persistent_steady,0.6416666666666834,0.2385660316694804,1.246855396708213e-11,0.0,8.85365778264989e-16,True,4.833333333206339,0.6416666665216256,0.2385660316522039,0.2385660316702484,1.1916666665296245,persistent_basin,steady_by_tail_change_and_rhs_residual
BASIN_s0p15_extinct_branch,0.15,extinct_branch,1600.0,persistent_steady,1.3461435823699457,0.0005503074646874318,0.0005503073600468806,-0.0007029896410171756,2.7902313509165126e-05,True,3.42245864868856,1.3430492591232257,1.0463948163698717e-10,0.002319876857537809,1.8925870599126822,persistent_basin,steady_by_tail_change_and_rhs_residual
BASIN_s0p15_low_predator,0.15,low_predator,1600.0,declining_transient,0.8219575576001625,0.19844085637719894,-0.47417388520418785,-0.36812959062949246,2.1036232129852962e-06,True,3.4288887033282216,2.5852795977534026e-05,0.00121528222751508,0.6726482997526597,0.5530311921959911,transient_basin,window_change_indicates_transient
BASIN_s0p15_low_defense,0.15,low_defense,1600.0,persistent_steady,0.6416666666598136,0.23856603164658438,0.13856603164658438,3.480733748417541e-07,1.9236839988432058e-14,True,3.935917103106554,0.6393845486536662,0.09999997416876402,0.23916239053282087,1.1883991980492845,persistent_basin,steady_by_tail_change_and_rhs_residual
BASIN_s0p15_high_defense,0.15,high_defense,1600.0,recovery_transient,0.7129217049187303,2.270252434671239e-05,-0.8999772974756536,2386.6161362443772,7.625958038752583e-07,True,3.4225069933573224,1.1215902156975528e-09,7.632307306589236e-06,0.900000029137242,0.5501004478043245,transient_basin,window_change_indicates_transient
BASIN_s0p15_mixed_random,0.15,mixed_random,1600.0,declining_transient,0.6685354429037597,0.23522101230274609,-0.43739372927864073,-0.4219310594055686,2.505755338433552e-07,True,3.437965912963109,0.0001526489686337666,0.003020029255982338,0.6759705587086804,0.5557121773620844,transient_basin,window_change_indicates_transient
BASIN_s0p1584375_baseline_burnin,0.1584375,baseline_burnin,1600.0,recovery_transient,1.3078156824623246,0.0008508921514359931,-0.6717638494299508,4.579740396098989,3.995891105078613e-05,True,3.4981136586885393,1.985241145131828e-05,3.4769483949564984e-05,0.6726482997526597,0.550856836745885,transient_basin,window_change_indicates_transient
BASIN_s0p1584375_persistent_branch,0.1584375,persistent_branch,1600.0,persistent_steady,0.6416666666666486,0.21415079173699827,1.0890222057469146e-10,0.0,7.779841040641281e-16,True,4.833333332275708,0.641666665771417,0.21415079160376696,0.2141507917449936,1.1916666658115393,persistent_basin,steady_by_tail_change_and_rhs_residual
BASIN_s0p1584375_extinct_branch,0.1584375,extinct_branch,1600.0,persistent_steady,1.309386963002652,4.909789724739023e-10,4.909776141584306e-10,-6.785734743573081e-10,2.3335089301265757e-11,True,3.4978927388526095,0.02890619066491749,6.374443804735119e-16,1.9759204976511984e-09,0.5787510912930351,persistent_basin,steady_by_tail_change_and_rhs_residual
BASIN_s0p1584375_low_predator,0.1584375,low_predator,1600.0,recovery_transient,1.019480942642992,3.561622844611714e-05,-0.6725791253529406,179.34344253004258,1.629500247146114e-06,True,3.49793919622811,3.2944477062014636e-06,6.887781294663295e-06,0.6726482997526597,0.5503622914275305,transient_basin,window_change_indicates_transient
BASIN_s0p1584375_low_defense,0.1584375,low_defense,1600.0,persistent_steady,0.641666667062154,0.21415079161577558,0.11415079161577556,4.6267970885040976e-07,8.864729358865534e-14,True,4.042795688331707,0.638519591539961,0.09999997416876402,0.21491539153150221,1.1887386356151364,persistent_basin,steady_by_tail_change_and_rhs_residual
BASIN_s0p1584375_high_defense,0.1584375,high_defense,1600.0,extinct_steady,1.6974751977338134e-06,1.0442287141403963e-05,-0.8999895577128588,0.016748117108763005,2.8119341159960155e-08,True,4.833170805379261,5.648302625107862e-11,8.619840744398036e-07,0.900000029137242,0.5500019835790357,extinct_basin,steady_by_tail_change_and_rhs_residual
BASIN_s0p1584375_mixed_random,0.1584375,mixed_random,1600.0,recovery_transient,1.3078159939444645,0.0008507238792345608,-0.6717640177021522,4.580583785080692,3.995117696404854e-05,True,3.498113303181319,1.977039937900611e-05,3.471138238800377e-05,0.6759705587086804,0.5508558002854411,transient_basin,window_change_indicates_transient
BASIN_s0p16486816_baseline_burnin,0.16486816,baseline_burnin,1600.0,recovery_transient,0.00014178281058856577,3.710687313601939e-06,-0.6726110308940731,1.165149475165672,4.681555982916581e-07,True,4.833170805379261,2.5563888016236968e-06,3.0652722265172776e-07,0.6726482997526597,0.5500397923033323,transient_basin,window_change_indicates_transient
BASIN_s0p16486816_persistent_branch,0.16486816,persistent_branch,1600.0,persistent_steady,0.6416666666667209,0.195542660557827,2.4433505219079166e-10,0.0,1.2937235284027036e-16,True,4.833333330124325,0.6416666628109228,0.19554266017869815,0.19554266058580375,1.1916666629834638,persistent_basin,steady_by_tail_change_and_rhs_residual
BASIN_s0p16486816_extinct_branch,0.16486816,extinct_branch,1600.0,extinct_steady,2.2400655727654394e-05,3.3828180201793826e-16,-1.371849138441128e-10,0.18390846053435247,7.277357938516587e-08,True,6.116573537936525,5.061536039116833e-08,2.7926865320984515e-17,1.3718549261231127e-10,0.5500000505712705,extinct_basin,steady_by_tail_change_and_rhs_residual
BASIN_s0p16486816_low_predator,0.16486816,low_predator,1600.0,extinct_steady,2.3917337867874952e-05,3.4346700490750255e-06,-0.6726113069113377,0.19631275374390464,7.763919630418081e-08,True,4.833170805379261,4.196114593585925e-07,2.835526295969226e-07,0.6726482997526597,0.5500113618666843,extinct_basin,steady_by_tail_change_and_rhs_residual
BASIN_s0p16486816_low_defense,0.16486816,low_defense,1600.0,persistent_steady,0.6416666683711202,0.1955426601902452,0.09554266019024517,4.692540860584227e-07,3.547593479263033e-13,True,4.131629260666028,0.6377621700787134,0.09999997416876402,0.1964348435463752,1.1880087241469943,persistent_basin,steady_by_tail_change_and_rhs_residual
BASIN_s0p16486816_high_defense,0.16486816,high_defense,1600.0,extinct_steady,1.2325647493372074e-10,1.0421768639411094e-05,-0.8999895782313608,1.0108978034887985e-06,1.3785768124283753e-09,True,4.833170805379261,3.540105304547681e-12,8.602821019276277e-07,0.900000029137242,0.5500001661211444,extinct_basin,steady_by_tail_change_and_rhs_residual
BASIN_s0p16486816_mixed_random,0.16486816,mixed_random,1600.0,recovery_transient,0.00014176641871866175,3.710727956213711e-06,-0.6726110308534305,1.1650148224115393,4.681009721196886e-07,True,4.817080537370607,2.5472775834703704e-06,3.06472712857905e-07,0.6759705587086804,0.5500397338274925,transient_basin,window_change_indicates_transient
BASIN_s0p175_baseline_burnin,0.175,baseline_burnin,1600.0,extinct_steady,1.175010000843034e-10,3.6837434323190383e-06,-0.6726110578379545,-1.1271105227702827e-05,4.873107659658349e-10,True,4.833170805379261,2.9006969400088696e-11,3.040775070980183e-07,0.6726482997526597,0.5500000586562441,extinct_basin,steady_by_tail_change_and_rhs_residual
BASIN_s0p175_persistent_branch,0.175,persistent_branch,1600.0,persistent_steady,0.6416666666666818,0.16622458001767845,-3.6609386910857467e-09,-9.964323738404812e-13,8.867636895929383e-16,True,4.833333276340554,0.6416665116933478,0.16622457400473747,0.16622458367861714,1.191666518555561,persistent_basin,steady_by_tail_change_and_rhs_residual
BASIN_s0p175_extinct_branch,0.175,extinct_branch,1600.0,extinct_steady,1.0272572961523932e-13,3.529999718412021e-11,-1.4315913036153057e-05,-9.816804460585317e-09,4.706521593311277e-15,True,6.1166639058750025,2.536135036871408e-14,2.9138532272450566e-12,1.4315985066064794e-05,0.5500000000005874,extinct_basin,steady_by_tail_change_and_rhs_residual
BASIN_s0p175_low_predator,0.175,low_predator,1600.0,extinct_steady,1.819230219348902e-11,3.432402112822953e-06,-0.6726113091792739,-1.7446208922402787e-06,4.540533232195045e-10,True,4.833170805379261,4.491078619348945e-12,2.833302208223203e-07,0.6726482997526597,0.5500000546315323,extinct_basin,steady_by_tail_change_and_rhs_residual
BASIN_s0p175_low_defense,0.175,low_defense,1600.0,persistent_steady,0.64166667758432,0.16622457808869,0.06622457808868999,-1.4817494811036853e-08,5.384485008108228e-12,True,4.289353086845682,0.6364057767503193,0.09999997416876402,0.1673021441858057,1.1866853871630139,persistent_basin,steady_by_tail_change_and_rhs_residual
BASIN_s0p175_high_defense,0.175,high_defense,1600.0,extinct_steady,9.841441193120116e-17,1.0392468755754127e-05,-0.8999896075312445,-9.505275424931236e-12,1.3747683260448607e-09,True,4.833170805379261,2.4292461013058743e-17,8.578634632177033e-07,0.900000029137242,0.550000165399033,extinct_basin,steady_by_tail_change_and_rhs_residual
BASIN_s0p175_mixed_random,0.175,mixed_random,1600.0,extinct_steady,1.1748743570074665e-10,3.683784291393697e-06,-0.6726110577970954,-1.1269791392313723e-05,4.873161826840949e-10,True,4.817080537370607,2.895466146489302e-11,3.0402236885915765e-07,0.6759705587086804,0.5500000586456553,extinct_basin,steady_by_tail_change_and_rhs_residual
