run_id,sweep_direction,step_index,stress,T,initial_source,classification,tail_mean_w,tail_mean_q,relative_change_between_last_windows,normalized_residual,physical,min_n,min_w,min_q,max_q,min_z,notes
upward_step00_s0p09,upward,0,0.09,1200.0,baseline_burnin,persistent_steady,0.6416666666003096,0.4121855156363461,2.754861294573976e-07,3.2996433644933745e-15,True,4.618632974537858,0.1106502413333891,0.36934371128205334,0.6726482997526597,0.7619039821582161,steady_by_tail_change_and_rhs_residual
upward_step01_s0p105,upward,1,0.105,1200.0,upward_previous_stress_0.09,persistent_steady,0.641666666664531,0.3687806446434699,1.4714590801525802e-08,7.22231343026318e-16,True,4.830847690143768,0.5192395966851991,0.36831671796639354,0.4121855156337605,1.086158590793516,steady_by_tail_change_and_rhs_residual
upward_step02_s0p11765625,upward,2,0.11765625,1200.0,upward_previous_stress_0.105,persistent_steady,0.6416666666244163,0.3321577847465407,-6.748412144329795e-08,2.8952450283154187e-15,True,4.8280034769999265,0.5300494623205525,0.3312364569423301,0.3687806446427094,1.0936226411612162,steady_by_tail_change_and_rhs_residual
upward_step03_s0p125,upward,3,0.125,1200.0,upward_previous_stress_0.11765625,persistent_steady,0.6416666666415052,0.310907483317594,-9.822185753278725e-08,1.5281013711822702e-15,True,4.830047773130618,0.5735558777847224,0.31036624583458555,0.33215778474401375,1.1310323560148312,steady_by_tail_change_and_rhs_residual
upward_step04_s0p135,upward,4,0.135,1200.0,upward_previous_stress_0.125,persistent_steady,0.6416666670859417,0.2819709025731482,-4.927395983686203e-07,1.351407679548368e-13,True,4.8230508016058184,0.5420980013636196,0.28039260608185557,0.3109074833213887,1.1020770658226664,steady_by_tail_change_and_rhs_residual
upward_step05_s0p141262205,upward,5,0.141262205,1200.0,upward_previous_stress_0.135,persistent_steady,0.6416666675546888,0.2638502225094128,-5.308594095891551e-07,3.1583954497857645e-13,True,4.826682681289305,0.5763495432501263,0.2628772067447273,0.2819709026613145,1.1323061843355116,steady_by_tail_change_and_rhs_residual
upward_step06_s0p15,upward,6,0.15,1200.0,upward_previous_stress_0.141262205,persistent_steady,0.6416666747503165,0.23856603078360497,-1.98784763036914e-06,3.4009578042770545e-12,True,4.815710620566386,0.5430691101463355,0.23616439004748088,0.26385022265140556,1.1012636365290502,steady_by_tail_change_and_rhs_residual
upward_step07_s0p1584375,upward,7,0.1584375,1200.0,upward_previous_stress_0.15,persistent_steady,0.6416667035064213,0.21415078826898754,-5.11981464739733e-06,2.2734877314394426e-11,True,4.808458838817457,0.5381969719498023,0.2110056691271866,0.23856603165701193,1.0958470696624119,steady_by_tail_change_and_rhs_residual
upward_step08_s0p16486816,upward,8,0.16486816,1200.0,upward_previous_stress_0.1584375,persistent_steady,0.6416667479249455,0.1955426527092698,-8.392087241105953e-06,7.293449745805927e-11,True,4.811821702534436,0.55769583094735,0.1929906750186042,0.21415079162809608,1.1132656929580453,steady_by_tail_change_and_rhs_residual
upward_step09_s0p175,upward,9,0.175,1200.0,upward_previous_stress_0.16486816,persistent_steady,0.6416675715250107,0.16622446170589789,-7.607336817512524e-05,1.410585995654882e-09,True,4.754831791909604,0.486012915534486,0.1577646836608203,0.19554266031349196,1.0448303064458502,steady_by_tail_change_and_rhs_residual
downward_step00_s0p175,downward,0,0.175,1200.0,baseline_burnin,extinct_steady,8.343471227287367e-10,8.496840828899445e-05,-4.1910262779234824e-05,2.2941936916574217e-08,True,4.833170805379261,3.034016449904813e-10,1.4315915144832213e-05,0.6726482997526597,0.5500027604747948,steady_by_tail_change_and_rhs_residual
downward_step01_s0p16486816,downward,1,0.16486816,1200.0,downward_previous_stress_0.175,extinct_steady,2.862050916847168e-08,8.142914355941066e-10,0.0002075920965103025,7.8840744967534e-11,True,6.1166639058750025,3.034016449904813e-10,1.3718501702245814e-10,1.4315985066064794e-05,0.5500000092128943,steady_by_tail_change_and_rhs_residual
downward_step02_s0p1584375,downward,2,0.1584375,1200.0,downward_previous_stress_0.16486816,recovery_transient,0.007124251639556065,7.835111659899798e-15,30.813828847398074,0.00017353371469417826,True,6.059007385596024,5.061536039116833e-08,1.3583139569945895e-15,1.3718549261231127e-10,0.5500000505602546,window_change_indicates_transient
downward_step03_s0p15,downward,3,0.15,1200.0,downward_previous_stress_0.1584375,persistent_steady,1.3471040091261322,3.198202757819003e-11,-3.970071875964367e-11,1.2634007158415302e-12,True,3.4224586483029635,0.02890619066491749,7.731349187210404e-16,1.0464178178411923e-10,0.5787510912930351,steady_by_tail_change_and_rhs_residual
downward_step04_s0p141262205,downward,4,0.141262205,1200.0,downward_previous_stress_0.15,persistent_steady,1.384148111511363,1.9346096345730294e-05,-2.2306088904937285e-05,8.148789082922488e-07,True,3.3483065178151907,1.347104008999526,1.0463948163698717e-10,6.609937947136116e-05,1.895629725359838,steady_by_tail_change_and_rhs_residual
downward_step05_s0p135,downward,5,0.135,1200.0,downward_previous_stress_0.141262205,declining_transient,0.6527060211987935,0.2808848764832898,-0.37047696907099137,1.6075696426352938e-06,True,3.2976442671414055,0.6405561756173903,6.609812560813066e-05,0.2822956597150659,1.1906604662614781,window_change_indicates_transient
downward_step06_s0p125,downward,6,0.125,1200.0,downward_previous_stress_0.135,persistent_steady,0.6416666667510864,0.31090748331503354,2.998399194270367e-08,7.221625570601658e-15,True,4.657989825822205,0.641141539478825,0.28196538411282146,0.3110714373251627,1.1908797488225167,steady_by_tail_change_and_rhs_residual
downward_step07_s0p11765625,downward,7,0.11765625,1200.0,downward_previous_stress_0.125,persistent_steady,0.6416666666865618,0.3321577847412802,-6.8964442336717404e-09,1.6380001734762818e-15,True,4.710176579217311,0.6414094759928023,0.3109074833212145,0.33224169937972853,1.1911236011816166,steady_by_tail_change_and_rhs_residual
downward_step08_s0p105,downward,8,0.105,1200.0,downward_previous_stress_0.11765625,persistent_steady,0.6416666666611942,0.36878064464320937,-2.2309022010612507e-08,8.855327086122386e-16,True,4.635531023039804,0.6416030168316476,0.3321577847440004,0.36880289820590034,1.1907216649113637,steady_by_tail_change_and_rhs_residual
downward_step09_s0p09,downward,9,0.09,1200.0,downward_previous_stress_0.105,persistent_steady,0.6416666666678166,0.41218551563360956,1.1207765058174482e-08,8.844200896634274e-16,True,4.6157447052389635,0.6416660189215925,0.3687806446427091,0.412185759131076,1.1905287519202472,steady_by_tail_change_and_rhs_residual
